Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,2018-12-01 12:18:18.908582,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.3333333333333337,1.5275252316519463,3.0,0.0,4.0,1.3333333333333337,1.5275252316519463,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
172.217.11.2-192.168.50.7-80-51997-6,172.217.11.2,80,192.168.50.7,51997,6,2018-12-01 12:28:21.889266,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,238,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
172.217.10.226-192.168.50.6-443-57263-6,192.168.50.6,57263,172.217.10.226,443,6,2018-12-01 11:26:03.961046,1269755,86,129,12896.0,135278.0,1348.0,0.0,149.95348837209298,356.8008806035277,2860.0,0.0,1048.6666666666658,934.6238910429868,116694.95296336696,169.32400344948437,5933.434579439254,30709.18324462633,403329.0,0.0,1184245.0,13932.294117647049,52838.23175883688,445468.0,0.0,1228740.0,9599.53125000001,39836.134053516354,403329.0,0.0,0,0,0,0,1744,2604,67.72960137979373,101.59440206969064,0.0,2860.0,685.9907407407412,875.4565957696923,766424.2510766581,0,0,0,0,1,0,0,0,1.0,689.1813953488373,149.95348837209303,1048.6666666666667,1744,0,0,0,0,0,0,86,12896,129,135278,8192,293,28,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
172.217.12.129-192.168.50.8-443-60459-6,172.217.12.129,443,192.168.50.8,60459,6,2018-12-01 14:21:57.952872,206,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14563.106796116504,103.0,142.8355697996826,204.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,4854.368932038835,9708.737864077671,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,253,16537,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
192.168.50.6-4.2.2.4-55256-53-17,192.168.50.6,55256,4.2.2.4,53,17,2018-12-01 13:43:46.960513,21040,2,2,86.0,118.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,9695.817490494295,190.11406844106463,7013.333333333334,12143.119547024697,21035.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,64,0,95.05703422053232,95.05703422053232,43.0,59.0,49.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,61.75,43.0,59.0,64,0,0,0,0,0,0,2,86,2,118,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
192.168.50.7-4.2.2.4-60335-53-17,192.168.50.7,60335,4.2.2.4,53,17,2018-12-01 13:15:32.106075,20649,2,2,74.0,186.0,37.0,37.0,37.0,0.0,93.0,93.0,93.0,0.0,12591.408784929052,193.7139813066008,6883.0,11916.509556073876,20643.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,96.8569906533004,96.8569906533004,37.0,93.0,59.4,30.672463220289305,940.8,0,0,0,0,0,0,0,0,1.0,74.25,37.0,93.0,40,0,0,0,0,0,0,2,74,2,186,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
172.217.10.100-192.168.50.6-443-59210-6,192.168.50.6,59210,172.217.10.100,443,6,2018-12-01 15:57:06.139272,601,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,204658.90183028288,6655.574043261232,200.3333333333333,342.6577495597224,596.0,2.0,601.0,200.3333333333333,342.6577495597224,596.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,6655.574043261232,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,253,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
172.217.10.34-192.168.50.7-443-51116-6,192.168.50.7,51116,172.217.10.34,443,6,2018-12-01 09:52:32.971143,117167114,14,16,1738.0,2436.0,731.0,0.0,124.14285714285714,258.0485515267523,1004.0,0.0,152.25,333.6064547736849,35.62433056087735,0.2560445416450216,4040245.310344827,15045417.307768974,58762441.0,1.0,117167114.0,9012854.923076922,21909857.841436267,58804038.0,2.0,117032873.0,7802191.533333334,20553426.48969708,58804055.0,1.0,1,0,0,0,280,320,0.1194874527676767,0.1365570888773448,0.0,1004.0,158.22580645161293,309.8365923813626,95998.71397849463,0,0,1,0,0,1,0,0,1.0,163.5,124.14285714285714,152.25,280,0,0,0,0,0,0,14,1738,16,2436,258,380,7,20,179169.0,121145.77639356644,264832.0,93506.0,58357637.0,572479.3069028783,58762441.0,57952833.0,0,0,BENIGN
192.168.50.6-216.58.219.196-56902-443-6,192.168.50.6,56902,216.58.219.196,443,6,2018-12-01 10:32:04.346497,116835066,54,66,12772.0,2814.0,1200.0,0.0,236.51851851851848,394.0535707638317,224.0,0.0,42.63636363636364,46.93158240005793,133.40173060714494,1.0270889049696776,981807.2773109244,7496364.743446267,58133387.0,1.0,116835066.0,2204435.2075471696,11178329.283067372,58214503.0,1.0,116772990.0,1796507.5384615385,10114941.68590291,58174206.0,1.0,0,0,0,0,1104,1344,0.4621900072363549,0.5648988977333227,0.0,1200.0,128.8099173553719,281.4556600381188,79217.28856749313,0,0,0,0,1,0,0,0,1.0,129.88333333333333,236.51851851851848,42.63636363636363,1104,0,0,0,0,0,0,54,12772,66,2814,8192,303,34,20,310021.5,350572.93551057245,557914.0,62129.0,58076431.0,80547.947658522,58133387.0,58019475.0,0,0,BENIGN
172.217.10.66-192.168.50.7-443-51551-6,172.217.10.66,443,192.168.50.7,51551,6,2018-12-01 10:55:28.766510,129,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23255.81395348837,64.5,89.80256121069155,128.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,20,40,7751.937984496126,15503.875968992252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,302,254,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
172.217.1.14-192.168.50.8-80-60632-6,172.217.1.14,80,192.168.50.8,60632,6,2018-12-01 14:56:49.491797,187,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16042.780748663105,93.5,129.4005409571382,185.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,5347.593582887701,10695.187165775402,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,242,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
172.217.10.66-192.168.50.7-443-53361-6,192.168.50.7,53361,172.217.10.66,443,6,2018-12-01 16:14:52.091157,117242356,34,29,2520.0,9612.0,517.0,0.0,74.1176470588235,137.0422993106745,2860.0,0.0,331.4482758620689,616.1271660372264,103.4779614971231,0.537348464747672,1891005.741935484,10406140.03533888,58895713.0,1.0,117242356.0,3552798.666666666,14159393.638815802,58937308.0,1.0,117149085.0,4183895.892857143,15339169.746981489,58937368.0,1.0,0,0,0,0,704,604,0.2899975841495372,0.2473508805981347,0.0,2860.0,189.5625,442.24893783464654,195584.12301587305,0,0,0,0,1,0,0,0,0.0,192.57142857142856,74.11764705882355,331.4482758620689,704,0,0,0,0,0,0,34,2520,29,9612,64240,250,16,20,150231.5,80468.04459224793,207131.0,93332.0,58424301.5,666676.5367586443,58895713.0,57952890.0,0,0,BENIGN
