Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
172.16.0.5-192.168.50.1-1004-52641-17,172.16.0.5,1004,192.168.50.1,52641,17,2018-12-01 10:38:39.111253,311,34,0,14528.0,0.0,440.0,224.0,427.2941176470588,51.58783589989239,0.0,0.0,0.0,0.0,46713826.36655948,109324.75884244373,9.424242424242426,20.6155740628146,78.0,0.0,311.0,9.424242424242426,20.6155740628146,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,109324.75884244373,0.0,224.0,440.0,427.6571428571429,50.86888732298939,2587.643697478992,0,0,0,0,0,0,0,0,0.0,440.2352941176471,427.2941176470589,0.0,0,0,0,0,0,0,0,34,14528,0,0,-1,-1,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-559-27205-17,172.16.0.5,559,192.168.50.1,27205,17,2018-12-01 10:42:41.777816,8635,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,10191082.80254777,23161.551823972204,43.39195979899496,119.59230886252293,1112.0,0.0,8635.0,43.39195979899496,119.59230886252293,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,23161.5518239722,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-910-39545-17,172.16.0.5,910,192.168.50.1,39545,17,2018-12-01 10:41:44.241194,117543,190,0,83600.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,711229.0821231379,1616.4297320980409,621.9206349206347,948.8004179116816,6700.0,0.0,117543.0,621.9206349206347,948.8004179116816,6700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-190,0,1616.4297320980409,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.31578947368416,440.0,0.0,-190,0,0,0,0,0,0,190,83600,0,0,-1,-1,189,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-645-26615-17,172.16.0.5,645,192.168.50.1,26615,17,2018-12-01 10:41:36.643895,2677,40,0,17456.0,0.0,440.0,368.0,436.4,15.89194280614696,0.0,0.0,0.0,0.0,6520732.1628688825,14942.099364960775,68.64102564102566,265.8352761807174,1421.0,0.0,2677.0,68.64102564102566,265.8352761807174,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14942.099364960775,0.0,368.0,440.0,436.4878048780488,15.70210487676654,246.5560975609756,0,0,0,0,0,0,0,0,0.0,447.4,436.4,0.0,0,0,0,0,0,0,0,40,17456,0,0,-1,-1,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-866-11045-17,172.16.0.5,866,192.168.50.1,11045,17,2018-12-01 10:37:06.202988,8402,24,0,10560.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,1256843.6086646037,2856.4627469650086,365.3043478260869,1195.0152693882812,5753.0,0.0,8402.0,365.3043478260869,1195.0152693882812,5753.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2856.462746965009,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,458.33333333333326,440.0,0.0,0,0,0,0,0,0,0,24,10560,0,0,-1,-1,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-634-1316-17,172.16.0.5,634,192.168.50.1,1316,17,2018-12-01 10:42:19.299342,648,46,0,19808.0,0.0,440.0,224.0,430.6086956521738,44.53586732355024,0.0,0.0,0.0,0.0,30567901.2345679,70987.65432098765,14.400000000000002,20.633600135348523,52.0,0.0,648.0,14.400000000000002,20.633600135348523,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,920,0,70987.65432098764,0.0,224.0,440.0,430.80851063829766,44.070417119933005,1942.2016651248848,0,0,0,0,0,0,0,0,0.0,440.1739130434783,430.60869565217394,0.0,920,0,0,0,0,0,0,46,19808,0,0,-1,-1,45,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-678-20535-17,172.16.0.5,678,192.168.50.1,20535,17,2018-12-01 10:37:16.368891,4385,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,20068415.051311288,45610.034207525656,22.035175879396988,35.792665701571686,206.0,0.0,4385.0,22.035175879396988,35.792665701571686,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,45610.034207525656,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-771-37740-17,172.16.0.5,771,192.168.50.1,37740,17,2018-12-01 10:37:32.409608,152,4,0,1760.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,11578947.368421052,26315.78947368421,50.66666666666666,53.91041952473876,108.0,1.0,152.0,50.66666666666666,53.91041952473876,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,26315.78947368421,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,550.0,440.0,0.0,80,0,0,0,0,0,0,4,1760,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-786-25084-17,172.16.0.5,786,192.168.50.1,25084,17,2018-12-01 10:37:16.170945,9294,10,0,4112.0,0.0,440.0,296.0,411.2,60.71573107523289,0.0,0.0,0.0,0.0,442435.980202281,1075.9629868732516,1032.6666666666667,1510.7263981277356,3714.0,1.0,9294.0,1032.6666666666667,1510.7263981277356,3714.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,1075.9629868732516,0.0,296.0,440.0,413.8181818181818,58.25086811682412,3393.163636363637,0,0,0,0,0,0,0,0,0.0,455.2,411.2,0.0,200,0,0,0,0,0,0,10,4112,0,0,-1,-1,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
172.16.0.5-192.168.50.1-753-49050-17,172.16.0.5,753,192.168.50.1,49050,17,2018-12-01 10:42:44.529348,59,6,0,2208.0,0.0,440.0,224.0,368.0,111.5419203707736,0.0,0.0,0.0,0.0,37423728.81355932,101694.91525423728,11.8,21.924871721403527,51.0,1.0,59.0,11.8,21.924871721403527,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,101694.91525423726,0.0,224.0,440.0,378.28571428571433,105.3972078784416,11108.571428571431,0,0,0,0,0,0,0,0,0.0,441.33333333333326,368.0,0.0,-6,0,0,0,0,0,0,6,2208,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
