Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
172.16.0.5-192.168.50.1-38287-52660-17,172.16.0.5,38287,192.168.50.1,52660,17,2018-12-01 12:30:22.959347,244886,6,0,2054.0,0.0,374.0,322.0,342.3333333333333,24.856923918028684,0.0,0.0,0.0,0.0,8387.576259974028,24.50119647509453,48977.2,67343.37498373541,131123.0,1.0,244886.0,48977.2,67343.37498373541,131123.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,830,0,24.50119647509453,0.0,322.0,374.0,339.42857142857144,23.957303290487022,573.9523809523804,0,0,0,0,0,0,0,0,0.0,396.0,342.3333333333333,0.0,830,0,0,0,0,0,0,6,2054,0,0,-1,-1,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-40332-60397-17,172.16.0.5,40332,192.168.50.1,60397,17,2018-12-01 12:27:34.748983,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,766000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,40,0,0,0,0,0,0,2,766,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-37999-7566-17,172.16.0.5,37999,192.168.50.1,7566,17,2018-12-01 12:28:32.294676,4302,6,0,2918.0,0.0,514.0,468.0,486.33333333333337,21.80519815701445,0.0,0.0,0.0,0.0,678289.1678289167,1394.700139470014,860.4,1921.67681986332,4298.0,1.0,4302.0,860.4,1921.67681986332,4298.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,1394.700139470014,0.0,468.0,514.0,483.71428571428567,21.07695649846284,444.2380952380948,0,0,0,0,0,0,0,0,0.0,564.3333333333334,486.33333333333326,0.0,120,0,0,0,0,0,0,6,2918,0,0,-1,-1,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-36935-61547-17,172.16.0.5,36935,192.168.50.1,61547,17,2018-12-01 12:28:33.539125,1,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,802000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,601.5,401.0,0.0,40,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-35069-9533-17,172.16.0.5,35069,192.168.50.1,9533,17,2018-12-01 12:28:27.460303,1,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,802000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,601.5,401.0,0.0,40,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-48914-30035-17,172.16.0.5,48914,192.168.50.1,30035,17,2018-12-01 12:36:51.818739,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,766000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-47319-60591-17,172.16.0.5,47319,192.168.50.1,60591,17,2018-12-01 12:31:33.035998,107569,4,0,1438.0,0.0,389.0,330.0,359.5,34.06366588218791,0.0,0.0,0.0,0.0,13368.163690282516,37.185434465319936,35856.33333333333,62103.25905565129,107567.0,1.0,107569.0,35856.33333333333,62103.25905565129,107567.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,37.185434465319936,0.0,330.0,389.0,353.6,32.3156308928048,1044.3,0,0,0,0,0,0,0,0,0.0,442.0,359.5,0.0,0,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-60569-26332-17,172.16.0.5,60569,192.168.50.1,26332,17,2018-12-01 12:28:18.384254,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,766000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-38740-14952-17,172.16.0.5,38740,192.168.50.1,14952,17,2018-12-01 12:29:25.685377,224439,24,0,10764.0,0.0,473.0,407.0,448.5,27.242869031059826,0.0,0.0,0.0,0.0,47959.57921751568,106.93328699557564,9758.217391304348,40664.648332378914,195868.0,0.0,224439.0,9758.217391304348,40664.648332378914,195868.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,480,0,106.93328699557564,0.0,407.0,473.0,446.84,27.930986377140343,780.1399999999995,0,0,0,0,0,0,0,0,0.0,465.45833333333326,448.5,0.0,480,0,0,0,0,0,0,24,10764,0,0,-1,-1,23,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
172.16.0.5-192.168.50.1-41558-25444-17,172.16.0.5,41558,192.168.50.1,25444,17,2018-12-01 12:36:04.951288,1,2,0,750.0,0.0,375.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,750000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2000000.0,0.0,375.0,375.0,375.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,562.5,375.0,0.0,0,0,0,0,0,0,0,2,750,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_SSDP
