Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
172.16.0.5-192.168.50.1-61582-27329-17,172.16.0.5,61582,192.168.50.1,27329,17,2018-12-01 13:49:36.490119,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,0,0,0,0,0,0,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62753-54834-17,172.16.0.5,62753,192.168.50.1,54834,17,2018-12-01 13:49:53.489038,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,774.0,516.0,0.0,-2,0,0,0,0,0,0,2,1032,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62472-24622-17,172.16.0.5,62472,192.168.50.1,24622,17,2018-12-01 13:54:00.356926,3000673,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.8456932828069,1.3330342893077654,1000224.3333333333,1732437.6322492345,3000671.0,1.0,3000673.0,1000224.3333333333,1732437.6322492345,3000671.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,0,1.3330342893077654,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,645.0,516.0,0.0,104,0,0,0,0,0,0,4,2064,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62465-44539-17,172.16.0.5,62465,192.168.50.1,44539,17,2018-12-01 13:50:29.485573,3000028,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.9935787265986,1.333320889005036,1000009.3333333333,1732064.3753002754,3000025.0,1.0,3000028.0,1000009.3333333333,1732064.3753002754,3000025.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0,1.333320889005036,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,645.0,516.0,0.0,38,0,0,0,0,0,0,4,2064,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-23396-48217-17,172.16.0.5,23396,192.168.50.1,48217,17,2018-12-01 13:55:55.084486,6008124,6,0,3096.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,515.3022807119161,0.9986478308370468,1201624.8,1645391.6747836058,3005915.0,1.0,6008124.0,1201624.8,1645391.6747836058,3005915.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,0.9986478308370468,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,602.0,516.0,0.0,68,0,0,0,0,0,0,6,3096,0,0,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62500-59340-17,172.16.0.5,62500,192.168.50.1,59340,17,2018-12-01 13:41:59.200988,3000459,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.8947521029282,1.3331293645405586,1000153.0,1732314.9453171038,3000458.0,0.0,3000459.0,1000153.0,1732314.9453171038,3000458.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1.3331293645405586,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,645.0,516.0,0.0,80,0,0,0,0,0,0,4,2064,0,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62469-12846-17,172.16.0.5,62469,192.168.50.1,12846,17,2018-12-01 13:46:59.303918,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,774.0,516.0,0.0,-2,0,0,0,0,0,0,2,1032,0,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-37883-49462-17,172.16.0.5,37883,192.168.50.1,49462,17,2018-12-01 13:43:38.601909,3002530,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.4202755676047,1.3322098363713268,1000843.3333333333,1733508.9056737882,3002527.0,1.0,3002530.0,1000843.3333333333,1733508.9056737882,3002527.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,1.3322098363713268,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,645.0,516.0,0.0,-2,0,0,0,0,0,0,4,2064,0,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62602-2588-17,172.16.0.5,62602,192.168.50.1,2588,17,2018-12-01 13:57:00.935594,1,2,0,1032.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,1032000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,774.0,516.0,0.0,40,0,0,0,0,0,0,2,1032,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
172.16.0.5-192.168.50.1-62555-47040-17,172.16.0.5,62555,192.168.50.1,47040,17,2018-12-01 13:49:34.541841,3000736,4,0,2064.0,0.0,516.0,516.0,516.0,0.0,0.0,0.0,0.0,0.0,687.8312520661598,1.333006302453798,1000245.3333333333,1732474.0053161934,3000734.0,1.0,3000736.0,1000245.3333333333,1732474.0053161934,3000734.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0,1.333006302453798,0.0,516.0,516.0,516.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,645.0,516.0,0.0,68,0,0,0,0,0,0,4,2064,0,0,-1,-1,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,TFTP
