Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
172.16.0.5-192.168.50.1-37216-80-6,172.16.0.5,37216,192.168.50.1,80,6,2018-12-01 13:06:02.322108,5006153,8,7,960.0,2146.0,480.0,0.0,120.0,222.1968239454124,1073.0,0.0,306.57142857142856,523.570389136888,620.4364908543546,2.996312737545177,357582.3571428572,1337604.139753647,5004949.0,2.0,1204.0,172.0,259.3729618393817,698.0,2.0,5006034.0,834339.0,2043212.489635476,5005029.0,2.0,0,0,0,0,272,240,1.5980334600240942,1.3982792775210824,0.0,1073.0,194.125,379.51774222909086,144033.71666666667,0,0,0,0,1,0,0,0,0.0,207.06666666666663,120.0,306.57142857142856,272,0,0,0,0,0,0,8,960,7,2146,65535,235,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.174.165.72null,1,WebDDoS
172.16.0.5-192.168.50.1-64143-80-6,172.16.0.5,64143,192.168.50.1,80,6,2018-12-01 13:11:35.162128,132,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15151.51515151515,132.0,0.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,7575.757575757574,7575.757575757574,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,64,236,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS
172.16.0.5-192.168.50.1-49255-80-6,192.168.50.1,80,172.16.0.5,49255,6,2018-12-01 13:25:26.400307,160,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12499.999999999998,160.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,6249.999999999999,6249.999999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,243,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-34827-80-6,192.168.50.1,80,172.16.0.5,34827,6,2018-12-01 13:07:46.218973,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,32,64,500000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,227,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-58730-80-6,192.168.50.1,80,172.16.0.5,58730,6,2018-12-01 13:06:50.132210,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,7812.5,7812.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,242,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-58780-80-6,192.168.50.1,80,172.16.0.5,58780,6,2018-12-01 13:12:58.024991,117,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25641.02564102564,58.5,78.48885271170676,114.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,8547.008547008547,17094.017094017094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,236,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-62905-80-6,172.16.0.5,62905,192.168.50.1,80,6,2018-12-01 13:25:57.725213,165,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12121.212121212122,165.0,0.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,6060.606060606061,6060.606060606061,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,64,236,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS
172.16.0.5-192.168.50.1-58300-80-6,172.16.0.5,58300,192.168.50.1,80,6,2018-12-01 13:23:39.734033,194,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10309.278350515464,194.0,0.0,194.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,5154.639175257732,5154.639175257732,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,64,236,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS
172.16.0.5-192.168.50.1-35674-80-6,172.16.0.5,35674,192.168.50.1,80,6,2018-12-01 13:05:47.679311,32559958,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378382736243087,3255995.8,9953830.274066938,31571300.0,2.0,32559958.0,5426659.666666666,12814367.860778756,31571430.0,2.0,31571402.0,10523800.666666668,18227753.11326688,31571397.0,2.0,0,0,0,0,264,160,0.2149879923063782,0.1228502813179304,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,264,0,0,0,0,0,0,7,0,4,0,65535,28960,0,32,226.0,0.0,226.0,226.0,31571300.0,0.0,31571300.0,31571300.0,0,1,WebDDoS
172.16.0.5-192.168.50.1-43416-80-6,192.168.50.1,80,172.16.0.5,43416,6,2018-12-01 13:15:35.582233,177,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11299.435028248588,177.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,5649.717514124294,5649.717514124294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,244,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-59921-80-6,172.16.0.5,59921,192.168.50.1,80,6,2018-12-01 13:14:19.364060,164,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12195.121951219511,164.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,6097.560975609756,6097.560975609756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,64,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS
172.16.0.5-192.168.50.1-28466-80-6,192.168.50.1,80,172.16.0.5,28466,6,2018-12-01 13:16:29.890683,146,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13698.6301369863,146.0,0.0,146.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,6849.315068493151,6849.315068493151,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,243,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-26981-80-6,192.168.50.1,80,172.16.0.5,26981,6,2018-12-01 13:10:10.183450,25,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,12.5,14.849242404917495,23.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,40000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,227,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
172.16.0.5-192.168.50.1-34839-80-6,172.16.0.5,34839,192.168.50.1,80,6,2018-12-01 13:11:29.866454,4504731,9,6,1084.0,2146.0,542.0,0.0,120.44444444444444,238.9995350995013,1073.0,0.0,357.66666666666663,554.0948173974077,717.023946601917,3.329832569358748,321766.5,1203596.927859588,4503539.0,2.0,4504731.0,563091.375,1592181.2912051494,4503539.0,2.0,1003.0,200.6,283.8983973184773,617.0,2.0,0,0,0,0,304,208,1.9978995416152487,1.331933027743499,0.0,1073.0,201.875,386.2753551548429,149208.65,0,0,0,0,1,0,0,0,0.0,215.3333333333333,120.44444444444444,357.66666666666674,304,0,0,0,0,0,0,9,1084,6,2146,65535,235,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.174.165.72/c.php,1,WebDDoS
172.16.0.5-192.168.50.1-30742-80-6,192.168.50.1,80,172.16.0.5,30742,6,2018-12-01 13:24:44.977106,188,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10638.297872340429,188.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,5319.148936170213,5319.148936170213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,243,64,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WebDDoS
