 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,22,2,0,12,0,6,6,6,0,0,0,0,0,545454.5455,90909.09091,22,0,22,22,22,22,0,22,22,0,0,0,0,0,0,0,0,0,40,0,90909.09091,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
35116,11198280,1,5,6,30,6,6,6,0,6,6,6,0,3.214779413,0.535796569,2239656,4988696.469,11200000,1,0,0,0,0,0,11200000,2794932.75,5579179.284,11200000,1,0,0,0,0,20,100,0.089299428,0.446497141,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,34586,0,34586,34586,11200000,0,11200000,11200000,BENIGN
19673,5558850,1,5,6,30,6,6,6,0,6,6,6,0,6.476159637,1.07935994,1111770,2465794.04,5522641,1,0,0,0,0,0,5524863,1381215.75,2760950.364,5522641,1,0,0,0,0,20,100,0.179893323,0.899466616,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,36209,0,36209,36209,5522641,0,5522641,5522641,BENIGN
41180,45,1,1,0,0,0,0,0,0,0,0,0,0,0,44444.44444,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,22222.22222,22222.22222,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,122,693,0,32,0,0,0,0,0,0,0,0,BENIGN
53,127354,1,1,47,183,47,47,47,0,183,183,183,0,1805.989604,15.70425742,127354,0,127354,127354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,7.852128712,7.852128712,47,183,92.33333333,78.51963661,6165.333333,0,0,0,0,0,0,0,0,1,138.5,47,183,32,0,0,0,0,0,0,1,47,1,183,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,24153,2,2,60,616,30,30,30,0,308,308,308,0,27988.24163,165.6108972,8051,13937.81285,24145,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,40,64,82.8054486,82.8054486,30,308,141.2,152.266871,23185.2,0,0,0,0,0,0,0,0,1,176.5,30,308,40,0,0,0,0,0,0,2,60,2,616,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
2248,33,1,1,6,6,6,6,6,0,6,6,6,0,363636.3636,60606.06061,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30303.0303,30303.0303,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,119,16360,0,20,0,0,0,0,0,0,0,0,BENIGN
80,23274,1,1,0,0,0,0,0,0,0,0,0,0,0,85.93280055,23274,0,23274,23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.96640027,42.96640027,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,29,0,32,0,0,0,0,0,0,0,0,BENIGN
53,263,2,2,78,356,39,39,39,0,178,178,178,0,1650190.114,15209.12548,87.66666667,68.70468203,167,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,7604.562738,7604.562738,39,178,94.6,76.13343549,5796.3,0,0,0,0,0,0,0,0,1,118.25,39,178,64,0,0,0,0,0,0,2,78,2,356,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,249627,2,2,72,190,36,36,36,0,95,95,95,0,1049.565952,16.02390767,83209,144117.0195,249621,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,8.011953835,8.011953835,36,95,59.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,74.5,36,95,40,0,0,0,0,0,0,2,72,2,190,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
52476,40,1,1,6,6,6,6,6,0,6,6,6,0,300000,50000,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25000,25000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1047,256,0,20,0,0,0,0,0,0,0,0,BENIGN
53,181,2,2,68,182,34,34,34,0,91,91,91,0,1381215.47,22099.44751,60.33333333,66.3651515,132,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,40,40,11049.72376,11049.72376,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71,34,91,40,0,0,0,0,0,0,2,68,2,182,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,116403336,22,20,1255,8286,311,0,57.04545455,122.5333685,2458,0,414.3,763.8883977,81.96500485,0.360814401,2839105.756,4477425.502,10000000,4,116000000,5543016,4960154.723,10000000,1251,111000000,5822485.842,5056813.076,10000000,4,0,0,0,0,452,544,0.18899802,0.171816382,0,2458,221.8837209,551.8319365,304518.4862,0,0,0,1,0,0,0,0,0,227.1666667,57.04545455,414.3,452,0,0,0,0,0,0,22,1255,20,8286,8192,1047,15,20,60494,123588.7355,433128,23148,9996532.182,2415.550986,10000000,9992139,BENIGN
443,15638201,10,9,1214,4483,486,0,121.4,185.5066336,1871,0,498.1111111,694.9347891,364.3002159,1.214973513,868788.9444,2596756.889,9949675,58,15600000,1737577.889,3558910.871,9949675,5915,15600000,1951615.5,3765295.703,10000000,193,0,0,0,0,212,204,0.639459743,0.575513769,0,1871,284.85,509.4274676,259516.3447,0,0,0,1,0,0,0,0,0,299.8421053,121.4,498.1111111,212,0,0,0,0,0,0,10,1214,9,4483,8192,35,5,20,141583,164770.0222,258093,25073,7677407,3213472.223,9949675,5405139,BENIGN
53,60931,1,1,43,105,43,43,43,0,105,105,105,0,2428.97704,32.82401405,60931,0,60931,60931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,16.41200702,16.41200702,43,105,63.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,95.5,43,105,40,0,0,0,0,0,0,1,43,1,105,-1,-1,0,40,0,0,0,0,0,0,0,0,BENIGN
80,115686504,16,14,671,256,587,0,41.9375,145.3577053,250,0,18.28571429,66.71112071,8.013034952,0.259321519,3989189.793,4828235.795,9965068,31,116000000,7712433.6,4050015.262,10000000,36605,111000000,8511801.846,3643792.182,10000000,19183,0,0,0,0,332,424,0.13830481,0.121016709,0,587,29.90322581,112.5298049,12662.95699,0,0,0,1,0,0,0,0,0,30.9,41.9375,18.28571429,332,0,0,0,0,0,0,16,671,14,256,8192,344,15,20,110133.2727,244670.3201,847842,36261,9949286.545,49644.99128,9965068,9799606,BENIGN
50242,32,1,1,6,6,6,6,6,0,6,6,6,0,375000,62500,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,31250,31250,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,33580,63812,0,20,0,0,0,0,0,0,0,0,BENIGN
53,92019,2,2,56,220,28,28,28,0,110,110,110,0,2999.380563,43.46928352,30673,53123.73033,92015,1,1,1,0,1,1,3,3,0,3,3,0,0,0,0,80,64,21.73464176,21.73464176,28,110,60.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,76,28,110,80,0,0,0,0,0,0,2,56,2,220,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
53,4158794,2,2,106,233,63,43,53,14.14213562,125,108,116.5,12.02081528,81.51401584,0.961817296,1386264.667,2357889.315,4108774,531,4158263,4158263,0,4158263,4158263,4109305,4109305,0,4109305,4109305,0,0,0,0,52,52,0.480908648,0.480908648,43,125,76.4,37.98420724,1442.8,0,0,0,0,0,0,0,0,1,95.5,53,116.5,52,0,0,0,0,0,0,2,106,2,233,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
59655,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,10300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,61,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,65497,1,1,57,185,57,57,57,0,185,185,185,0,3694.825717,30.53574973,65497,0,65497,65497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,15.26787486,15.26787486,57,185,99.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,149.5,57,185,32,0,0,0,0,0,0,1,57,1,185,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
