 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,111745,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,104103.0919,62.64262383,18624.16667,45010.0317,110499,59,901,450.5,553.6646097,842,59,111660,37220.0,63462.77746,110499,174,0,0,0,0,72,92,26.84683878,35.79578505,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,139381,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,83461.87787,64.57121128,17422.625,48888.57131,138415,36,642,321.0,387.4945161,595,47,139303,27860.6,61802.19998,138415,48,0,0,0,0,72,132,21.52373709,43.04747419,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,244025,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,122.9382235,20.48970392,61006.25,122009.1667,244020,1,244025,61006.25,122009.1667,244020,1,0,0.0,0.0,0,0,0,0,0,0,100,0,20.48970392,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,143731,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,80935.91501,48.70208932,23955.16667,58313.29997,142986,4,672,336.0,357.7960313,589,83,143685,47895.0,82351.94643,142986,4,0,0,0,0,72,92,20.87232399,27.82976533,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,103397,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,112508.0998,87.04314439,12924.625,36074.1395,102202,16,830,415.0,390.3229432,691,139,103379,20675.8,45576.01923,102202,16,0,0,0,0,72,132,29.01438146,58.02876292,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1006978,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,11552.38744,6.951492485,167829.6667,410621.4529,1006007,5,897,448.5,504.167135,805,92,1006928,335642.6667,580552.7211,1006007,5,0,0,0,0,72,92,2.979211065,3.97228142,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,72224014,8,7,56,11607,20,0,7.0,5.656854249,4380,0,1658.142857,1773.970728,161.483686,0.207687155,5158858.143,18300000.0,68600000,2,70500000,10100000.0,25800000.0,68600000,18,1687572,281262.0,688481.0714,1686618,2,0,0,0,0,172,152,0.110766483,0.096920672,0,4380,729.3125,1405.185668,1974546.762,0,0,0,0,1,0,0,0,0,777.9333333,7.0,1658.142857,172,0,0,0,0,0,0,8,56,7,11607,256,229,6,20,1963560.0,0.0,1963560,1963560,68600000.0,0.0,68600000,68600000,DDoS
80,2068984,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.59989637,1.933316062,689661.3333,1194525.005,2068980,1,2068984,689661.3333,1194525.005,2068980,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.933316062,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6691837,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.586459144,0.597743191,2230612.333,3862686.085,6690858,3,6691837,2230612.333,3862686.085,6690858,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.597743191,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,979.0,0.0,979,979,6690858.0,0.0,6690858,6690858,DDoS
80,72503388,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,160.8614483,0.193094425,5577183.692,18900000.0,68300000,3,71300000,10200000.0,25600000.0,68300000,3,1202793,240558.6,537383.3858,1201859,3,0,0,0,0,172,132,0.110339671,0.082754753,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,3011935.0,0.0,3011935,3011935,68300000.0,0.0,68300000,68300000,DDoS
