 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,5638432,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.709417086,1879477.333,3254752.687,5637742,72,5638432,2819216.0,3985997.695,5637742,690,0,0.0,0.0,0,0,0,0,0,0,104,40,0.532062815,0.177354272,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5638527,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.709405134,1879509.0,3254757.302,5637779,146,5638527,2819263.5,3985982.846,5637779,748,0,0.0,0.0,0,0,0,0,0,0,104,40,0.53205385,0.177351283,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5945704,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.672754648,1981901.333,3432192.632,5945056,48,5945704,2972852.0,4203331.207,5945056,648,0,0.0,0.0,0,0,0,0,0,0,104,40,0.504565986,0.168188662,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,6075117,16,12,2615,13133,559,0,163.4375,199.0490622,7240,0,1094.416667,1985.141601,2592.21345,4.608964733,225004.3333,968644.3136,5004329,4,1070788,71385.86667,214272.2428,841350,4,6075016,552274.1818,1497550.392,5005140,69,0,0,0,0,520,392,2.633694133,1.9752706,0,7240,543.0344828,1338.86443,1792557.963,0,0,0,1,0,0,0,0,0,562.4285714,163.4375,1094.416667,520,0,0,0,0,0,0,16,2615,12,13133,29200,286,7,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,34,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,29411.76471,29411.76471,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,492,286,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,3958444,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.010498064,1319481.333,2284898.632,3957855,65,3958444,1979222.0,2798209.624,3957855,589,0,0.0,0.0,0,0,0,0,0,0,104,40,0.757873548,0.252624516,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,4020679,20,11,2972,13653,559,0,148.6,192.9694276,7926,0,1241.181818,2257.835991,4134.873737,7.710140501,134022.6333,527321.7447,2804194,4,4020679,211614.6842,656258.705,2804194,4,1215595,121559.5,259197.1868,846614,156,0,0,0,0,648,360,4.974284194,2.735856307,0,7926,519.53125,1396.262615,1949549.289,0,0,0,1,0,0,0,0,0,536.2903226,148.6,1241.181818,648,0,0,0,0,0,0,20,2972,11,13653,29200,294,8,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,3607565,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.108781131,1202521.667,2082250.127,3606897,146,3607565,1803782.5,2549988.98,3606897,668,0,0.0,0.0,0,0,0,0,0,0,104,40,0.831585848,0.277195283,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,3607613,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.108766378,1202537.667,2082261.387,3606926,140,3607613,1803806.5,2549996.051,3606926,687,0,0.0,0.0,0,0,0,0,0,0,104,40,0.831574784,0.277191595,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5607142,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.713375905,1869047.333,3236631.968,5606388,155,5607142,2803571.0,3963781.814,5606388,754,0,0.0,0.0,0,0,0,0,0,0,104,40,0.535031929,0.178343976,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
