 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,11722577,7,5,519,11632,519,0,74.14285714,196.1635615,10136,0,2326.4,4413.497117,1036.546828,1.023665701,1065688.818,2401091.521,6717095,13,6720012,1120002.0,2742765.687,6718649,16,11700000,2930641.0,3454992.057,6717095,188,0,0,0,0,232,168,0.597138325,0.426527375,0,10136,934.6923077,2797.147755,7824035.564,0,0,0,1,0,0,0,0,0,1012.583333,74.14285714,2326.4,232,0,0,0,0,0,0,7,519,5,11632,29200,235,1,32,679.0,0.0,679,679,6717095.0,0.0,6717095,6717095,DoS GoldenEye
80,10487413,5,4,429,3525,429,0,85.8,191.8546325,3525,0,881.25,1762.5,377.0233898,0.858171601,1310926.625,2429409.859,5481468,72,5485818,1371454.5,2742224.339,5484791,185,10500000,3495780.333,3036047.336,5481468,864,0,0,0,0,168,136,0.476762,0.3814096,0,3525,395.4,1107.86353,1227361.6,0,0,0,1,0,0,0,0,0,439.3333333,85.8,881.25,168,0,0,0,0,0,0,5,429,4,3525,29200,235,1,32,936.0,0.0,936,936,5481468.0,0.0,5481468,5481468,DoS GoldenEye
80,11761490,5,4,532,3525,532,0,106.4,237.9176328,3525,0,881.25,1762.5,344.9392892,0.76520917,1470186.25,2761129.245,6759334,3,6764510,1691127.5,3381708.34,6763690,3,11800000,3920492.0,3506448.054,6759334,889,0,0,0,0,168,136,0.425116206,0.340092964,0,3525,405.7,1108.689121,1229191.567,0,0,0,1,0,0,0,0,0,450.7777778,106.4,881.25,168,0,0,0,0,0,0,5,532,4,3525,29200,235,1,32,903.0,0.0,903,903,6759334.0,0.0,6759334,6759334,DoS GoldenEye
80,11114920,9,7,1422,11632,474,0,158.0,237.0,5792,0,1661.714286,2124.411582,1174.457396,1.439506537,740994.6667,1877440.637,5699079,15,6113019,764127.375,1996544.981,5699993,211,11100000,1852477.833,2723695.246,5699079,15,0,0,0,0,296,232,0.809722427,0.62978411,0,5792,767.8823529,1521.88,2316118.735,0,0,0,1,0,0,0,0,0,815.875,158.0,1661.714286,296,0,0,0,0,0,0,9,1422,7,11632,29200,235,3,32,412268.0,0.0,412268,412268,5699079.0,0.0,5699079,5699079,DoS GoldenEye
80,11690432,8,5,350,11632,350,0,43.75,123.7436867,10184,0,2326.4,4437.056321,1024.940738,1.112020497,974202.6667,2302884.461,6687286,13,6689922,955703.1429,2527748.979,6688099,214,11700000,2922604.75,3443560.904,6687286,196,0,0,0,0,264,168,0.684320306,0.427700191,0,10184,855.8571429,2712.906187,7359859.978,0,0,0,1,0,0,0,0,0,921.6923077,43.75,2326.4,264,0,0,0,0,0,0,8,350,5,11632,29200,235,1,32,849.0,0.0,849,849,6687286.0,0.0,6687286,6687286,DoS GoldenEye
80,78330853,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.025532723,78300000.0,0.0,78300000,78300000,78300000,78300000.0,0.0,78300000,78300000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.025532723,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,78300000.0,0.0,78300000,78300000,DoS GoldenEye
80,11920560,7,6,339,11632,339,0,48.42857143,128.1299564,4392,0,1938.666667,2190.718847,1004.231345,1.090552793,993380.0,2355016.244,6918282,8,6921947,1153657.833,2825118.595,6920407,93,11900000,2384110.4,3333768.377,6918282,16,0,0,0,0,232,200,0.587220735,0.503332058,0,4392,855.0714286,1673.910137,2801975.148,0,0,0,1,0,0,0,0,0,920.8461538,48.42857143,1938.666667,232,0,0,0,0,0,0,7,339,6,11632,29200,235,1,32,880.0,0.0,880,880,6918282.0,0.0,6918282,6918282,DoS GoldenEye
80,2990649,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.668751164,2990649.0,0.0,2990649,2990649,2990649,2990649.0,0.0,2990649,2990649,0,0.0,0.0,0,0,0,0,0,0,64,0,0.668751164,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS GoldenEye
80,11340232,7,5,560,11632,560,0,80.0,211.6601049,10184,0,2326.4,4437.056321,1075.11028,1.058179409,1030930.182,2312098.017,6337198,1,6341345,1056890.833,2588458.205,6340559,1,11300000,2835045.25,3318146.415,6337198,196,0,0,0,0,232,168,0.617271322,0.440908087,0,10184,937.8461538,2809.06182,7890828.308,0,0,0,1,0,0,0,0,0,1016.0,80.0,2326.4,232,0,0,0,0,0,0,7,560,5,11632,29200,235,1,32,825.0,0.0,825,825,6337198.0,0.0,6337198,6337198,DoS GoldenEye
80,31110310,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.06428737,31100000.0,0.0,31100000,31100000,31100000,31100000.0,0.0,31100000,31100000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.06428737,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,296,-1,0,32,0.0,0.0,0,0,31100000.0,0.0,31100000,31100000,DoS GoldenEye
