 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,85072038,7,6,375,11595,375,0,53.57142857,141.7366774,5792,0,1932.5,2181.008184,140.7042817,0.152811668,7089336.5,24500000.0,84900000,0,84900000,14200000.0,34700000.0,84900000,0,141437,28287.4,55585.01081,127135,46,0,0,0,0,232,200,0.082283206,0.070528462,0,5792,855.0,1666.35475,2776738.154,0,0,0,0,1,0,0,0,0,920.7692308,53.57142857,1932.5,232,0,0,0,0,0,0,7,375,6,11595,251,235,1,32,6.0,0.0,6,6,84900000.0,0.0,84900000,84900000,DoS Hulk
80,139467,3,6,355,11595,355,0,118.3333333,204.9593456,4344,0,1932.5,1754.831473,85683.35162,64.53139452,17433.375,44506.22473,127103,4,12005,6002.5,8483.160054,12001,4,139373,27874.6,55710.37212,127103,15,0,0,0,0,104,200,21.51046484,43.02092968,0,4344,1195.0,1621.051785,2627808.889,0,0,0,1,0,0,0,0,2,1327.777778,118.3333333,1932.5,104,0,0,0,0,0,0,3,355,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,987,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2026.342452,987.0,0.0,987,987,987,987.0,0.0,987,987,0,0.0,0.0,0,0,0,0,0,0,64,0,2026.342452,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,85401178,8,7,774,11595,375,0,96.75,171.7595911,4344,0,1656.428571,1760.597234,144.8340677,0.175641605,6100084.143,22700000.0,85100000,5,85400000,12200000.0,32200000.0,85100000,5,85400000,14200000.0,34700000.0,85100000,16,0,0,0,0,216,232,0.093675523,0.081966082,0,4344,773.4375,1378.759006,1900976.396,1,0,0,0,0,0,0,0,0,825.0,96.75,1656.428571,216,0,0,0,0,0,0,8,774,7,11595,0,235,5,20,15997.0,0.0,15997,15997,85100000.0,0.0,85100000,85100000,DoS Hulk
80,98306722,8,6,348,11595,348,0,43.5,123.0365799,5792,0,1932.5,2181.008184,121.4871146,0.142411421,7562055.538,27200000.0,98200000,0,98300000,14000000.0,37100000.0,98200000,0,64411,12882.2,22547.50114,52154,45,0,0,0,0,264,200,0.081377955,0.061033466,0,5792,796.2,1621.362046,2628814.886,0,0,0,0,1,0,0,0,0,853.0714286,43.5,1932.5,264,0,0,0,0,0,0,8,348,6,11595,274,235,1,32,1014.0,0.0,1014,1014,98200000.0,0.0,98200000,98200000,DoS Hulk
80,98423909,9,7,307,11595,307,0,34.11111111,102.3333333,5792,0,1656.428571,1947.638216,120.9259023,0.162562127,6561593.933,25400000.0,98400000,1,98400000,12300000.0,34800000.0,98400000,1,43630,7271.666667,12628.81731,31159,46,0,0,0,0,296,232,0.091441196,0.071120931,0,5792,700.1176471,1451.884675,2107969.11,0,0,0,0,1,0,0,0,0,743.875,34.11111111,1656.428571,296,0,0,0,0,0,0,9,307,7,11595,274,235,1,32,986.0,0.0,986,986,98400000.0,0.0,98400000,98400000,DoS Hulk
80,99813675,8,6,322,11595,310,0,40.25,109.0291573,5792,0,1932.5,2181.008184,119.392458,0.140261342,7677975.0,27600000.0,99700000,1,99700000,14200000.0,37700000.0,99700000,1,131368,26273.6,53162.15711,121062,45,0,0,0,0,240,200,0.080149338,0.060112004,0,5792,794.4666667,1621.723812,2629988.124,0,0,0,0,1,0,0,0,0,851.2142857,40.25,1932.5,240,0,0,0,0,0,0,8,322,6,11595,251,235,3,20,1996.0,0.0,1996,1996,99700000.0,0.0,99700000,99700000,DoS Hulk
80,66720712,6,5,374,11595,374,0,62.33333333,152.6848606,7240,0,2319.0,3003.171157,179.3895725,0.164866346,6672071.2,21000000.0,66600000,3,66600000,13300000.0,29800000.0,66600000,3,150528,37632.0,67936.27216,139244,58,0,0,0,0,200,168,0.089927098,0.074939248,0,7240,997.4166667,2156.738887,4651522.629,0,0,0,0,1,0,0,0,0,1088.090909,62.33333333,2319.0,200,0,0,0,0,0,0,6,374,5,11595,251,235,1,32,995.0,0.0,995,995,66600000.0,0.0,66600000,66600000,DoS Hulk
80,85739219,5,8,361,11595,349,0,72.2,154.7649831,5792,0,1449.375,2046.673464,139.4461034,0.151622561,7144934.917,24700000.0,85600000,0,85600000,21400000.0,42800000.0,85600000,4,85700000,12200000.0,32300000.0,85600000,52,0,0,0,0,144,264,0.05831637,0.093306192,0,5792,854.4285714,1664.767099,2771449.495,1,0,0,0,0,0,0,0,1,920.1538462,72.2,1449.375,144,0,0,0,0,0,0,5,361,8,11595,0,235,2,20,2957.0,0.0,2957,2957,85600000.0,0.0,85600000,85600000,DoS Hulk
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
