 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,3001979,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999340768,1500989.5,711102.6416,2003815,998164,3001979,1500989.5,711102.6416,2003815,998164,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999340768,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,105601730,16,3,2390,6,239,0,149.375,118.4645517,6,0,2.0,3.464101615,22.68902223,0.179921295,5866762.778,12500000.0,51300000,128,106000000,7040106.8,13500000.0,51300000,363,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,536,100,0.151512669,0.028408626,0,239,119.8,121.5057287,14763.64211,0,0,0,1,0,0,0,0,0,126.1052632,149.375,2.0,536,0,0,0,0,0,0,16,2390,3,6,29200,0,11,32,4705615.5,6653929.258,9410654,577,19200000.0,18800000.0,51300000,5768790,DoS slowloris
80,507661,4,2,231,0,231,0,57.75,115.5,0,0,0.0,0.0,455.0280601,11.81891065,101532.2,226626.5613,506934,33,507661,169220.3333,292511.0919,506983,182,694,694.0,0.0,694,694,0,0,0,0,136,72,7.879273767,3.939636884,0,231,33.0,87.30979327,7623.0,0,0,0,1,0,0,0,0,0,38.5,57.75,0.0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,88475572,14,2,2318,0,231,0,165.5714286,107.3740509,0,0,0.0,0.0,26.199322,0.180840877,5898371.467,10400000.0,37200000,49,88500000,6805813.231,10900000.0,37200000,204,31600000,31600000.0,0.0,31600000,31600000,0,0,0,0,456,80,0.158235767,0.02260511,0,231,136.3529412,116.6211501,13600.49265,0,0,0,1,0,0,0,0,0,144.875,165.5714286,0.0,456,0,0,0,0,0,0,14,2318,2,0,29200,28960,11,32,3203515.0,4530000.398,6406709,321,11200000.0,6464530.72,19700000,5938249,DoS slowloris
80,3002949,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999017965,1501474.5,710940.007,2004185,998764,3002949,1501474.5,710940.007,2004185,998764,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999017965,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,77154450,2,1,8,0,8,0,4.0,5.656854249,0,0,0.0,0.0,0.103688122,0.038883046,38600000.0,54600000.0,77200000,47,77200000,77200000.0,0.0,77200000,77200000,0,0.0,0.0,0,0,1,0,0,0,64,32,0.02592203,0.012961015,0,8,4.0,4.618802154,21.33333333,0,1,0,0,1,0,0,0,0,5.333333333,4.0,0.0,64,0,0,0,0,0,0,2,8,1,0,229,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,44076629,4,3,239,0,231,0,59.75,114.2289368,0,0,0.0,0.0,5.422374746,0.158814323,7346104.833,18000000.0,44100000,38,44100000,14700000.0,25400000.0,44100000,465,44100000,22000000.0,31200000.0,44100000,993,0,0,0,0,136,104,0.090751042,0.068063281,0,231,29.875,81.31497402,6612.125,0,0,0,1,0,0,0,0,0,34.14285714,59.75,0.0,136,0,0,0,0,0,0,4,239,3,0,29200,235,2,32,1103.0,0.0,1103,1103,44100000.0,0.0,44100000,44100000,DoS slowloris
80,102731089,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.79288427,0.165480578,6420693.063,13200000.0,51400000,3,103000000,7902382.385,14400000.0,51400000,3,103000000,51400000.0,28000000.0,71200000,31600000,0,0,0,0,456,100,0.136278123,0.029202455,0,231,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3206397.5,4533687.96,6412199,596,19300000.0,18800000.0,51400000,5900689,DoS slowloris
80,3002783,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999073193,1501391.5,710708.076,2003938,998845,3002783,1501391.5,710708.076,2003938,998845,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999073193,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
80,103625335,15,3,2541,6,231,0,169.4,105.7374106,6,0,2.0,3.464101615,24.5789314,0.173702695,6095607.941,12900000.0,51300000,59,104000000,7401805.429,13900000.0,51300000,218,103000000,51300000.0,27900000.0,71000000,31600000,0,0,0,0,496,100,0.144752246,0.028950449,0,231,134.0526316,116.8034787,13643.05263,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3705482.0,5239628.722,7410459,505,19200000.0,18800000.0,51300000,5937727,DoS slowloris
