Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,15/02/2018 09:52:07,10010792,4,4,410,972,410,0,102.5,205.0,972,0,243.0,486.0,138.0510153442,0.7991375707,1430113.14285714,2442160.49933022,5005795,3,5006447,1668815.66666667,2890176.47860963,5006104,59,10010789,3336929.66666667,2889568.00595008,5005795,344,0,0,0,0,136,136,0.3995687854,0.3995687854,0,972,153.5555555556,335.5350619202,112583.777777778,0,0,0,1,0,0,0,0,1,172.75,102.5,243.0,0,0,0,0,0,0,4,410,4,972,26883,219,1,32,347.0,0.0,347,347,5005795.0,0.0,5005795,5005795,DoS attacks-GoldenEye
80,6,15/02/2018 09:39:00,1995269,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0023711089,1995269.0,0.0,1995269,1995269,1995269,1995269.0,0.0,1995269,1995269,0,0.0,0.0,0,0,0,0,0,0,64,0,1.0023711089,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,221,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:49:49,8958177,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2232597101,8958177.0,0.0,8958177,8958177,8958177,8958177.0,0.0,8958177,8958177,0,0.0,0.0,0,0,0,0,0,0,64,0,0.2232597101,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,8958177.0,0.0,8958177,8958177,DoS attacks-GoldenEye
80,6,15/02/2018 09:38:26,5007360,4,4,594,972,594,0,148.5,297.0,972,0,243.0,486.0,312.7396472393,1.5976482618,715337.142857143,1890315.89885522,5002169,8,5191,1730.3333333333,2760.4406049277,4915,22,5007352,1669117.33333333,2886797.46671122,5002503,277,0,0,0,0,136,136,0.7988241309,0.7988241309,0,972,174.0,357.9692724243,128142.0,0,0,0,1,0,0,0,0,1,195.75,148.5,243.0,0,0,0,0,0,0,4,594,4,972,26883,220,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
80,6,15/02/2018 09:54:00,9043424,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2211551731,9043424.0,0.0,9043424,9043424,9043424,9043424.0,0.0,9043424,9043424,0,0.0,0.0,0,0,0,0,0,0,64,0,0.2211551731,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,9043424.0,0.0,9043424,9043424,DoS attacks-GoldenEye
80,6,15/02/2018 09:51:16,11989132,4,4,348,972,348,0,87.0,174.0,972,0,243.0,486.0,110.0997136407,0.6672709918,1712733.14285714,2980425.93588933,6986573,4,6987171,2329057.0,4033793.04584494,6986880,35,11989128,3996376.0,3600123.89332492,6986573,291,0,0,0,0,136,136,0.3336354959,0.3336354959,0,972,146.6666666667,330.2059963114,109036.0,0,0,0,1,0,0,0,0,1,165.0,87.0,243.0,0,0,0,0,0,0,4,348,4,972,26883,219,1,32,295.0,0.0,295,295,6986573.0,0.0,6986573,6986573,DoS attacks-GoldenEye
80,6,15/02/2018 09:30:51,11651902,4,4,372,662,372,0,93.0,186.0,662,0,165.5,331.0,88.7408768114,0.6865831862,1664557.42857143,2881332.1699878,6647107,12,6649535,2216511.66666667,3837248.06867243,6647384,358,11651885,3883961.66666667,3460844.42858825,6647107,2146,0,0,0,0,136,136,0.3432915931,0.3432915931,0,662,114.8888888889,239.2260669557,57229.1111111111,0,0,0,1,0,0,0,0,1,129.25,93.0,165.5,0,0,0,0,0,0,4,372,4,662,26883,219,1,32,2163.0,0.0,2163,2163,6647107.0,0.0,6647107,6647107,DoS attacks-GoldenEye
80,6,15/02/2018 09:53:53,15961143,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.1253043093,15961143.0,0.0,15961143,15961143,15961143,15961143.0,0.0,15961143,15961143,0,0.0,0.0,0,0,0,0,0,0,64,0,0.1253043093,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,226,-1,0,32,0.0,0.0,0,0,15961143.0,0.0,15961143,15961143,DoS attacks-GoldenEye
80,6,15/02/2018 09:51:28,41333230,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0483872177,41333230.0,0.0,41333230,41333230,41333230,41333230.0,0.0,41333230,41333230,0,0.0,0.0,0,0,0,0,0,0,64,0,0.0483872177,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,221,-1,0,32,0.0,0.0,0,0,41333230.0,0.0,41333230,41333230,DoS attacks-GoldenEye
80,6,15/02/2018 09:50:19,57134,5,3,325,972,325,0,65.0,145.3444185375,972,0,324.0,561.1844616523,22701.018657892,140.021703364,8162.0,14101.604069514,33801,4,57134,14283.5,16905.5583265781,33801,25,23025,11512.5,15868.1832766073,22733,292,0,0,0,0,168,104,87.5135646025,52.5081387615,0,972,144.1111111111,328.5378381726,107937.111111111,0,0,0,1,0,0,0,0,0,162.125,65.0,324.0,0,0,0,0,0,0,5,325,3,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye
