Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,15/02/2018 11:40:29,3068062,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9778159633,1534031.0,729045.476179641,2049544,1018518,3068062,1534031.0,729045.476179641,2049544,1018518,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9778159633,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,26883,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Slowloris
80,6,15/02/2018 11:35:44,108121419,15,3,2530,0,230,0,168.6666666667,105.2796728899,0,0,0.0,0.0,23.3996189044,0.1664795021,6360083.47058824,13514549.1779385,53271626,5,108121414,7722958.14285714,14610389.2797669,53271626,332,107096034,53548017.0,31891652.8592174,76098821,30997213,0,0,0,0,496,100,0.1387329184,0.0277465837,0,230,133.1578947368,116.6691729054,13611.6959064327,0,0,0,1,0,0,0,0,0,140.5555555556,168.6666666667,0.0,0,0,0,0,0,0,15,2530,3,0,26883,0,11,32,6167954.5,2259196.97350286,7765448,4570461,23946376.25,20648869.1435057,53271626,6656502,DoS attacks-Slowloris
80,6,15/02/2018 11:29:23,107098937,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.1493945734,0.0373486433,35699645.6666667,61833596.6427712,107098933,2,107098935,107098935.0,0.0,107098935,107098935,107098935,107098935.0,0.0,107098935,107098935,1,0,0,0,64,64,0.0186743217,0.0186743217,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,0,0,0,0,0,0,2,16,2,0,211,219,1,32,2.0,0.0,2,2,107098933.0,0.0,107098933,107098933,DoS attacks-Slowloris
80,6,15/02/2018 11:08:34,107676266,14,3,2530,0,230,0,180.7142857143,97.9375221341,0,0,0.0,0.0,23.4963571266,0.1578806605,6729766.625,13939784.9172851,53247406,3,107676263,8282789.46153846,15131488.8936337,53247406,324,107676257,53838128.5,32299618.8237298,76677408,30998849,0,0,0,0,456,100,0.1300193675,0.027861293,0,230,140.5555555556,115.375204912,13311.4379084967,0,0,0,1,0,0,0,0,0,148.8235294118,180.7142857143,0.0,0,0,0,0,0,0,14,2530,3,0,26883,0,11,32,5515699.0,1835207.96932882,6813387,4218011,24161216.25,20580481.5787886,53247406,6657114,DoS attacks-Slowloris
80,6,15/02/2018 11:36:59,106662379,15,3,2530,0,230,0,168.6666666667,105.2796728899,0,0,0.0,0.0,23.719703458,0.1687567835,6274257.58823529,13403876.353362,53256643,1,106662378,7618741.28571429,14495381.5683319,53256643,378,105645800,52822900.0,30862294.8904272,74645838,30999962,0,0,0,0,496,100,0.1406306529,0.0281261306,0,230,133.1578947368,116.6691729054,13611.6959064327,0,0,0,1,0,0,0,0,0,140.5555555556,168.6666666667,0.0,0,0,0,0,0,0,15,2530,3,0,26883,0,11,32,6161930.5,2384888.0322859,7848301,4475560,23584629.25,20677234.899006,53256643,6647756,DoS attacks-Slowloris
80,6,15/02/2018 11:00:17,3021654,5,2,230,0,230,0,46.0,102.859126965,0,0,0.0,0.0,76.1172523393,2.3166120277,503609.0,842688.051878748,2016128,3,3021650,755412.5,964322.86047136,2016128,860,1743,1743.0,0.0,1743,1743,0,0,0,0,184,72,1.6547228769,0.6618891508,0,230,28.75,81.3172798365,6612.5,0,0,0,1,0,0,0,0,0,32.8571428571,46.0,0.0,0,0,0,0,0,0,5,230,2,0,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Slowloris
80,6,15/02/2018 11:40:44,3047944,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9842700522,1523972.0,695083.137479252,2015470,1032474,3047944,1523972.0,695083.137479252,2015470,1032474,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9842700522,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,26883,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Slowloris
80,6,15/02/2018 11:28:42,108155355,15,3,2530,0,230,0,168.6666666667,105.2796728899,0,0,0.0,0.0,23.3922767856,0.1664272657,6362079.70588235,13517920.5984787,53216521,13,108155342,7725381.57142857,14614185.8277034,53216521,418,107128934,53564467.0,31911538.116118,76129332,30999602,0,0,0,0,496,100,0.1386893881,0.0277378776,0,230,133.1578947368,116.6691729054,13611.6959064327,0,0,0,1,0,0,0,0,0,140.5555555556,168.6666666667,0.0,0,0,0,0,0,0,15,2530,3,0,26883,0,11,32,6033817.5,2512797.99214829,7810634,4257001,24021926.75,20571991.2755693,53216521,6658655,DoS attacks-Slowloris
80,6,15/02/2018 11:09:00,107133745,14,3,2530,0,230,0,180.7142857143,97.9375221341,0,0,0.0,0.0,23.6153417394,0.1586801619,6695859.0625,13897375.1437837,53247404,2,107133743,8241057.15384615,15087290.2221577,53247404,7,107133738,53566869.0,31919211.6389074,76137160,30996578,0,0,0,0,456,100,0.1306777804,0.0280023815,0,230,140.5555555556,115.375204912,13311.4379084967,0,0,0,1,0,0,0,0,0,148.8235294118,180.7142857143,0.0,0,0,0,0,0,0,14,2530,3,0,26883,0,11,32,5514656.5,1793659.08197308,6782965,4246348,24026107.5,20588831.5225658,53247404,6655744,DoS attacks-Slowloris
80,6,15/02/2018 11:24:14,3031730,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9895340284,1515865.0,707270.829959783,2015981,1015749,3031730,1515865.0,707270.829959783,2015981,1015749,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9895340284,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,26883,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Slowloris
