Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,20/02/2018 10:27:42,897619,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241,482,1096.23348,7.798408902,149603.1667,366228.0637,897163,2,428,214,299.8132752,426,2,897604,299201.3333,517850.0323,897163,21,0,0,0,0,72,92,3.342175244,4.456233658,0,964,123,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0,0,0,0,0,0,0,0,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:19:01,1398952,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241,482,703.3836758,5.003745661,233158.6667,570931.1683,1398567,2,358,179,250.3158005,356,2,1398948,466316,807353.0661,1398567,23,0,0,0,0,72,92,2.144462426,2.859283235,0,964,123,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0,0,0,0,0,0,0,0,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:39:59,14710596,2,0,0,0,0,0,0,0,0,0,0,0,0,0.135956422,14700000,0,14700000,14700000,14700000,14700000,0,14700000,14700000,0,0,0,0,0,0,0,0,0,40,0,0.135956422,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,14700000,0,14700000,14700000,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 11:04:20,1546379,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241,482,636.3252476,4.526703997,257729.8333,631157.1726,1546074,2,272,136,189.5046174,270,2,1546374,515458,892539.6457,1546074,29,0,0,0,0,72,92,1.940015999,2.586687998,0,964,123,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0,0,0,0,0,0,0,0,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 11:05:39,1440100,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241,482,683.2858829,4.860773557,240016.6667,587715.5594,1439686,4,380,190,216.374675,343,37,1440096,480032,831084.7628,1439686,23,0,0,0,0,72,92,2.083188667,2.77758489,0,964,123,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0,0,0,0,0,0,0,0,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:26:46,30835324,2,0,0,0,0,0,0,0,0,0,0,0,0,0.064860677,30800000,0,30800000,30800000,30800000,30800000,0,30800000,30800000,0,0,0,0,0,0,0,0,0,40,0,0.064860677,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,252,-1,0,20,0,0,0,0,30800000,0,30800000,30800000,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:50:54,11491342,2,0,0,0,0,0,0,0,0,0,0,0,0,0.174044076,11500000,0,11500000,11500000,11500000,11500000,0,11500000,11500000,0,0,0,0,0,0,0,0,0,40,0,0.174044076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,11500000,0,11500000,11500000,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:53:49,33173276,2,0,0,0,0,0,0,0,0,0,0,0,0,0.060289493,33200000,0,33200000,33200000,33200000,33200000,0,33200000,33200000,0,0,0,0,0,0,0,0,0,40,0,0.060289493,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,33200000,0,33200000,33200000,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 11:13:57,983301,3,4,20,964,20,0,6.666666667,11.54700538,964,0,241,482,1000.710871,7.118878146,163883.5,401150.2953,982728,4,543,271.5,378.3021279,539,4,983295,327765,567214.6564,982728,23,0,0,0,0,72,92,3.050947777,4.067930369,0,964,123,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1,140.5714286,6.666666667,241,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0,0,0,0,0,0,0,0,DDoS attacks-LOIC-HTTP
80,6,20/02/2018 10:35:26,15127445,2,0,0,0,0,0,0,0,0,0,0,0,0,0.132210033,15100000,0,15100000,15100000,15100000,15100000,0,15100000,15100000,0,0,0,0,0,0,0,0,0,40,0,0.132210033,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,252,-1,0,20,0,0,0,0,15100000,0,15100000,15100000,DDoS attacks-LOIC-HTTP
