Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8080,6,02/03/2018 11:34:04,579,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3454.231434,579.0,0.0,579.0,579.0,579.0,579.0,0.0,579.0,579.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3454.231434,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:36:58,10886,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,41796.80323,643.0277421,1814.333333,3985.587518,9939.0,21.0,597.0,298.5,359.9173516,553.0,44.0,10354.0,3451.333333,5621.447352,9939.0,25.0,0,0,0,0,72,92,275.583318,367.444424,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 10:58:59,11270,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,40372.67081,621.1180124,1878.333333,4107.251425,10250.0,1.0,650.0,325.0,362.038672,581.0,69.0,10711.0,3570.333333,5789.311732,10250.0,1.0,0,0,0,0,72,92,266.1934339,354.9245785,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:46:08,523,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3824.091778,523.0,0.0,523.0,523.0,523.0,523.0,0.0,523.0,523.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3824.091778,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 10:45:59,654,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3058.103976,654.0,0.0,654.0,654.0,654.0,654.0,0.0,654.0,654.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3058.103976,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:16:48,511,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3913.894325,511.0,0.0,511.0,511.0,511.0,511.0,0.0,511.0,511.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3913.894325,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 10:45:49,650,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3076.923077,650.0,0.0,650.0,650.0,650.0,650.0,0.0,650.0,650.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3076.923077,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 02:25:14,501,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3992.015968,501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3992.015968,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:32:03,13040,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,34892.63804,536.809816,2173.333333,4768.708365,11895.0,21.0,589.0,294.5,342.9467889,537.0,52.0,12528.0,4176.0,6691.378109,11895.0,21.0,0,0,0,0,72,92,230.0613497,306.7484663,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 02:25:50,12828,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,35469.28594,545.6813221,2138.0,4859.35008,12051.0,1.0,499.0,249.5,283.5498193,450.0,49.0,12396.0,4132.0,6860.199195,12051.0,1.0,0,0,0,0,72,92,233.8634238,311.8178983,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
