Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,14/02/2018 10:14:02,18145,1,1,47,175,47,47,47,0,175,175,175,0,12234.77542,110.223202,18145,0,18145,18145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,55.11160099,55.11160099,47,175,89.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,134.5,47,175,0,0,0,0,0,0,1,47,1,175,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 11:40:57,119189625,33,25,4807,9297,436,0,145.6666667,208.4801649,788,0,371.88,396.2667788,118.3324471,0.486619536,2091046.053,3969995.721,10004298,29,119189625,3724675.781,4718979.084,10015527,186,113594565,4733106.875,4969372.459,10018354,623,0,0,0,0,684,644,0.276869736,0.2097498,0,788,239.0508475,320.1701823,102508.9456,0,0,0,1,0,0,0,0,0,243.1724138,145.6666667,371.88,0,0,0,0,0,0,33,4807,25,9297,8192,309,22,20,331384.8182,1061275.244,3531250,11229,9995379.273,28749.16379,10004298,9908700,Benign
53,17,15/02/2018 11:02:15,1243,1,1,38,116,38,38,38,0,116,116,116,0,123893.8053,1609.010459,1243,0,1243,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,804.5052293,804.5052293,38,116,64,45.033321,2028,0,0,0,0,0,0,0,0,1,96,38,116,0,0,0,0,0,0,1,38,1,116,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
443,6,15/02/2018 02:01:58,5204699,6,6,1028,529,517,0,171.3333333,247.1272277,377,0,88.16666667,154.0083331,299.1527464,2.305608835,473154.4545,1488367.249,4959808,90,244891,48978.2,47398.81641,108387,248,5137254,1027450.8,2221316.755,5000604,202,0,0,0,0,132,132,1.152804418,1.152804418,0,517,119.7692308,195.8405618,38353.52564,0,0,0,1,0,0,0,0,1,129.75,171.3333333,88.16666667,0,0,0,0,0,0,6,1028,6,529,8192,57,3,20,0,0,0,0,0,0,0,0,Benign
55072,6,16/02/2018 01:48:24,4276318,5,3,935,344,935,0,187,418.1447118,344,0,114.6666667,198.6084926,299.0890762,1.870768264,610902.5714,1591936.686,4221002,4,4276318,1069079.5,2101327.491,4221010,41,28851,14425.5,4028.387332,17274,11577,0,0,0,0,168,104,1.169230165,0.701538099,0,935,142.1111111,318.3553221,101350.1111,0,0,0,0,1,0,0,0,0,159.875,187,114.6666667,0,0,0,0,0,0,5,935,3,344,237,211,1,32,0,0,0,0,0,0,0,0,Benign
42848,6,16/02/2018 01:48:14,4162092,5,3,935,288,935,0,187,418.1447118,288,0,96,166.2768775,293.8426157,1.922110323,594584.5714,1545941.606,4100322,8,4162092,1040523,2039926.459,4100330,28,26357,13178.5,9450.482131,19861,6496,0,0,0,0,168,104,1.201318952,0.720791371,0,935,135.8888889,314.43936,98872.11111,0,0,0,0,1,0,0,0,0,152.875,187,96,0,0,0,0,0,0,5,935,3,288,219,211,1,32,0,0,0,0,0,0,0,0,Benign
50057,6,20/02/2018 08:56:55,359,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0,0,86350.97493,11142.06128,119.6666667,189.9719278,339,7,359,179.5,225.5670632,339,20,0,0,0,0,0,0,0,0,0,60,20,8356.545961,2785.51532,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0,0,0,0,0,0,0,3,31,1,0,237,0,1,20,0,0,0,0,0,0,0,0,Benign
53,17,20/02/2018 01:29:16,529,1,1,40,72,40,40,40,0,72,72,72,0,211720.2268,3780.718336,529,0,529,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1890.359168,1890.359168,40,72,50.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,76,40,72,0,0,0,0,0,0,1,40,1,72,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
57533,6,21/02/2018 02:33:22,20520,5,2,935,248,935,0,187,418.1447118,248,0,124,175.3624817,57651.07212,341.1306043,3420,8111.736214,19976,4,20520,5130,10115.68963,20303,4,19976,19976,0,19976,19976,0,0,0,0,124,40,243.6647173,97.46588694,0,935,147.875,329.6736211,108684.6964,0,0,1,1,0,0,0,1,0,169,187,124,0,0,0,0,0,0,5,935,2,248,65535,32768,1,20,0,0,0,0,0,0,0,0,Benign
55139,6,21/02/2018 02:18:02,7083,5,2,935,247,935,0,187,418.1447118,247,0,123.5,174.655375,166878.4413,988.2818015,1180.5,2625.378887,6533,5,7083,1770.75,3399.185626,6868,5,6533,6533,0,6533,6533,0,0,0,0,124,40,705.9155725,282.366229,0,935,147.75,329.6304208,108656.2143,0,0,1,1,0,0,0,1,0,168.8571429,187,123.5,0,0,0,0,0,0,5,935,2,247,65535,32768,1,20,0,0,0,0,0,0,0,0,Benign
59112,6,22/02/2018 11:14:30,88096625,2,0,0,0,0,0,0,0,0,0,0,0,0,0.022702345,88096625,0,88096625,88096625,88096625,88096625,0,88096625,88096625,0,0,0,0,0,0,0,0,0,40,0,0.022702345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63328,-1,0,20,0,0,0,0,88096625,0,88096625,88096625,Benign
53,17,22/02/2018 08:50:04,332,1,1,40,72,40,40,40,0,72,72,72,0,337349.3976,6024.096386,332,0,332,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3012.048193,3012.048193,40,72,50.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,76,40,72,0,0,0,0,0,0,1,40,1,72,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
