Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,23/02/2018 10:04:30,5821967,3,1,0,0,0,0,0,0,0,0,0,0,0,0.687053018,1940655.667,3361024.966,5821633,15,5821967,2910983.5,4116279.998,5821633,334,0,0,0,0,0,0,0,0,0,72,32,0.515289764,0.171763255,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,23/02/2018 10:04:30,55332482,154,107,54442,80771,646,0,353.5194805,270.7849935,2920,0,754.8691589,516.5786226,2443.646031,4.716940043,212817.2385,409088.9687,1183051,4,55330356,361636.3137,480713.0405,1183051,87,55332448,522004.2264,555974.0668,1244208,4,0,0,0,0,3092,2152,2.783175351,1.933764692,0,2920,516.0801527,437.4351285,191349.4916,0,0,1,1,0,0,0,1,0,518.0574713,353.5194805,754.8691589,0,0,0,0,0,0,154,54442,107,80771,8192,1223,101,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,23/02/2018 10:05:25,177,2,0,0,0,0,0,0,0,0,0,0,0,0,11299.43503,177,0,177,177,177,177,0,177,177,0,0,0,0,0,0,0,0,0,40,0,11299.43503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
0,0,23/02/2018 10:02:37,112640956,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633297,56320478,53.74011537,56320516,56320440,112640956,56320478,53.74011537,56320516,56320440,0,0,0,0,0,0,0,0,0,0,0,0.026633297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320478,53.74011537,56320516,56320440,Brute Force -Web
500,17,23/02/2018 10:02:50,89479476,6,0,3000,0,500,500,500,0,0,0,0,0,33.52724149,0.067054483,17895895.2,15345099.83,41990219,4000257,89479476,17895895.2,15345099.83,41990219,4000257,0,0,0,0,0,0,0,0,0,48,0,0.067054483,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000257,0,4000257,4000257,21369804.75,15281005.68,41990219,7200399,Brute Force -Web
500,17,23/02/2018 10:02:50,89479477,6,0,3000,0,500,500,500,0,0,0,0,0,33.52724111,0.067054482,17895895.4,15345100.21,41990221,4000258,89479477,17895895.4,15345100.21,41990221,4000258,0,0,0,0,0,0,0,0,0,48,0,0.067054482,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000258,0,4000258,4000258,21369804.75,15281006.49,41990221,7200399,Brute Force -Web
500,17,23/02/2018 10:03:27,89479422,6,0,3000,0,500,500,500,0,0,0,0,0,33.52726172,0.067054523,17895884.4,15345117.13,41990219,4000288,89479422,17895884.4,15345117.13,41990219,4000288,0,0,0,0,0,0,0,0,0,48,0,0.067054523,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000288,0,4000288,4000288,21369783.5,15281044.69,41990219,7200344,Brute Force -Web
500,17,23/02/2018 10:03:27,89479434,6,0,3000,0,500,500,500,0,0,0,0,0,33.52725722,0.067054514,17895886.8,15345121.69,41990230,4000287,89479434,17895886.8,15345121.69,41990230,4000287,0,0,0,0,0,0,0,0,0,48,0,0.067054514,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,583.3333333,500,0,0,0,0,0,0,0,6,3000,0,0,-1,-1,5,8,4000287,0,4000287,4000287,21369786.75,15281049.5,41990230,7200344,Brute Force -Web
80,6,23/02/2018 10:05:25,56152274,153,104,54995,72486,646,0,359.4444444,271.4171844,1068,0,696.9807692,368.2234701,2270.27315,4.576840468,219344.8203,412832.4464,1090562,12,56150631,369412.0461,481751.4619,1090562,85,56152261,545167.5825,554711.6564,1148729,37,0,0,0,0,3072,2092,2.724733819,1.852106648,0,1068,494.1124031,355.4035233,126311.6644,0,0,1,1,0,0,0,1,0,496.0350195,359.4444444,696.9807692,0,0,0,0,0,0,153,54995,104,72486,8192,1228,101,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,23/02/2018 10:06:21,131,2,0,0,0,0,0,0,0,0,0,0,0,0,15267.17557,131,0,131,131,131,131,0,131,131,0,0,0,0,0,0,0,0,0,40,0,15267.17557,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
