Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,22/02/2018 01:51:39,5295883,4,4,365,809,365,0,91.25,182.5,809,0,202.25,404.5,221.6816346,1.510607391,756554.7143,1848956.373,4942711,19,353172,117724,152515.8994,290109,328,5295857,1765285.667,2809618.876,5005224,203,0,0,0,0,92,92,0.755303695,0.755303695,0,809,130.4444444,281.6390026,79320.52778,0,0,1,1,0,0,0,1,1,146.75,91.25,202.25,0,0,0,0,0,0,4,365,4,809,8192,219,1,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:51:45,13,2,0,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,40,0,153846.1538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:51:39,53674157,199,109,54405,195116,680,0,273.3919598,285.2001904,2920,0,1790.055046,520.9459316,4648.810786,5.738329528,174834.3876,348818.1659,1037153,2,53671932,271070.3636,403462.6134,1037153,84,53674133,496982.713,435121.5963,1039746,2,0,0,0,0,3992,2192,3.707557065,2.030772463,0,2920,807.5113269,821.9116362,675538.7377,0,0,1,1,0,0,0,1,0,810.1331169,273.3919598,1790.055046,0,0,0,0,0,0,199,54405,109,195116,8192,1265,101,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:52:33,156,2,0,0,0,0,0,0,0,0,0,0,0,0,12820.51282,156,0,156,156,156,156,0,156,156,0,0,0,0,0,0,0,0,0,40,0,12820.51282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:53:04,5284445,4,4,365,809,365,0,91.25,182.5,809,0,202.25,404.5,222.1614569,1.513877049,754920.7143,1849396.042,4942536,15,341909,113969.6667,147186.8348,280273,464,5284430,1761476.667,2811172.092,5003495,195,0,0,0,0,92,92,0.756938524,0.756938524,0,809,130.4444444,281.6390026,79320.52778,0,0,1,1,0,0,0,1,1,146.75,91.25,202.25,0,0,0,0,0,0,4,365,4,809,8192,219,1,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:53:09,25,2,0,0,0,0,0,0,0,0,0,0,0,0,80000,25,0,25,25,25,25,0,25,25,0,0,0,0,0,0,0,0,0,40,0,80000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:53:04,55281507,199,109,54500,195331,680,0,273.8693467,285.5588938,2920,0,1792.027523,511.6171069,4519.250895,5.571483426,180070.0554,355719.173,1073073,3,55279270,279188.2323,410780.0675,1073073,103,55281484,511865.5926,439674.9131,1075660,3,0,0,0,0,3992,2192,3.599757148,1.971726277,0,2920,808.5145631,820.5701953,673335.4454,0,0,1,1,0,0,0,1,0,811.1396104,273.8693467,1792.027523,0,0,0,0,0,0,199,54500,109,195331,8192,1265,101,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:53:59,134,2,0,0,0,0,0,0,0,0,0,0,0,0,14925.37313,134,0,134,134,134,134,0,134,134,0,0,0,0,0,0,0,0,0,40,0,14925.37313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:54:24,5015566,3,1,0,0,0,0,0,0,0,0,0,0,0,0.79751717,1671855.333,2895495.03,5015285,13,5015566,2507783,3546143.336,5015285,281,0,0,0,0,0,0,0,0,0,72,32,0.598137877,0.199379292,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,22/02/2018 01:54:24,50973109,198,109,54432,194309,680,0,274.9090909,285.4638434,2920,0,1782.651376,520.1538835,4879.847529,6.022783503,166578.7876,346192.4985,1014652,3,50970921,258735.6396,403160.4504,1014652,55,50973086,471973.0185,445852.8351,1017335,3,0,0,0,0,3972,2192,3.884401087,2.138382417,0,2920,807.6006494,818.6339696,670161.5762,0,0,1,1,0,0,0,1,0,810.2312704,274.9090909,1782.651376,0,0,0,0,0,0,198,54432,109,194309,8192,1264,101,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:01:04,5349549,4,4,365,809,365,0,91.25,182.5,809,0,202.25,404.5,219.4577524,1.495453168,764221.2857,1850842.785,4951818,14,397731,132577,185517.1004,344638,294,5349535,1783178.333,2794211.375,5003541,1051,0,0,0,0,92,92,0.747726584,0.747726584,0,809,130.4444444,281.6390026,79320.52778,0,0,1,1,0,0,0,1,1,146.75,91.25,202.25,0,0,0,0,0,0,4,365,4,809,8192,219,1,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:01:10,31,2,0,0,0,0,0,0,0,0,0,0,0,0,64516.12903,31,0,31,31,31,31,0,31,31,0,0,0,0,0,0,0,0,0,40,0,64516.12903,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:01:04,53377612,202,109,54500,195341,680,0,269.8019802,285.358813,2920,0,1792.119266,511.6454886,4680.632772,5.826412767,172185.8452,348628.0808,1033296,4,53375381,265549.1592,403571.7039,1033296,34,53377587,494236.9167,439459.4224,1035855,4,0,0,0,0,4052,2192,3.784358131,2.042054635,0,2920,800.7724359,820.4627955,673159.1989,0,0,1,1,0,0,0,1,0,803.3472669,269.8019802,1792.119266,0,0,0,0,0,0,202,54500,109,195341,8192,1265,101,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:01:57,1071,3,0,0,0,0,0,0,0,0,0,0,0,0,2801.120448,535.5,733.2697321,1054,17,1071,535.5,733.2697321,1054,17,0,0,0,0,0,0,0,0,0,60,0,2801.120448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:01:58,56908317,203,104,56330,189985,680,0,277.4876847,292.8687801,1935,0,1826.778846,320.4056881,4328.27771,5.394642052,185974.8922,364052.5229,1018065,19,56906006,281712.901,417142.1574,1018065,360,56908294,552507.7087,441351.2036,1020907,59,0,0,0,0,4072,2092,3.567141162,1.827500891,0,1935,799.724026,794.1302692,630642.8845,0,0,1,1,0,0,0,1,0,802.3289902,277.4876847,1826.778846,0,0,0,0,0,0,203,56330,104,189985,8192,1284,101,20,0,0,0,0,0,0,0,0,Brute Force -XSS
80,6,23/02/2018 01:02:54,674,2,0,0,0,0,0,0,0,0,0,0,0,0,2967.35905,674,0,674,674,674,674,0,674,674,0,0,0,0,0,0,0,0,0,40,0,2967.35905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -XSS
