Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,28/02/2018 01:57:53,119524308,46,73,5440,17144,518,0,118.2608696,165.8450997,1430,0,234.8493151,456.9368018,188.9490128,0.995613378,1012917.864,7530788.794,58200000,0,120000000,2656095.733,12100000,58300000,71,119000000,1659195.972,9617214.63,58200000,0,0,0,0,0,932,1472,0.384858953,0.610754425,0,1430,188.2,374.5020582,140251.7916,0,0,1,1,0,0,0,1,1,189.7815126,118.2608696,234.8493151,0,0,0,0,0,0,46,5440,73,17144,8192,331,29,20,1615194.5,2196335.181,3168238,62151,58100000,165770.5782,58200000,58000000,Infilteration
52818,6,28/02/2018 11:19:06,1059,2,0,0,0,0,0,0,0,0,0,0,0,0,1888.574127,1059,0,1059,1059,1059,1059,0,1059,1059,0,0,0,0,0,0,0,0,0,40,0,1888.574127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,123,-1,0,20,0,0,0,0,0,0,0,0,Infilteration
53,17,28/02/2018 11:20:13,241,1,1,40,56,40,40,40,0,56,56,56,0,398340.249,8298.755187,241,0,241,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4149.377593,4149.377593,40,56,45.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,68,40,56,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0,0,0,0,0,0,0,0,Infilteration
3389,6,28/02/2018 02:34:29,19,1,1,0,0,0,0,0,0,0,0,0,0,0,105263.1579,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,52631.57895,52631.57895,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8192,0,0,32,0,0,0,0,0,0,0,0,Infilteration
51892,6,28/02/2018 11:28:11,130,1,2,53,0,53,53,53,0,0,0,0,0,407692.3077,23076.92308,65,67.88225099,113,17,0,0,0,0,0,17,17,0,17,17,1,0,0,0,20,40,7692.307692,15384.61538,0,53,26.5,30.59956427,936.3333333,0,1,0,0,1,0,0,0,2,35.33333333,53,0,0,0,0,0,0,0,1,53,2,0,123,0,0,20,0,0,0,0,0,0,0,0,Infilteration
445,6,28/02/2018 02:29:03,121963,3,1,0,0,0,0,0,0,0,0,0,0,0,32.79683183,40654.33333,70366.87903,121907,0,121963,60981.5,86240.86435,121963,0,0,0,0,0,0,0,0,0,0,72,32,24.59762387,8.199207957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Infilteration
2602,6,28/02/2018 02:23:17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
443,6,28/02/2018 11:33:46,60386561,14,14,1067,5626,704,0,76.21428571,192.9528354,1460,0,401.8571429,604.5261154,110.8359193,0.463679328,2236539.296,4255422.707,10200000,5,60400000,4645120.077,5216771.762,10200000,167,60400000,4644190.308,5217735.406,10200000,22,0,0,0,0,292,352,0.231839664,0.231839664,0,1460,230.7931034,464.156099,215440.8842,0,0,1,1,0,0,0,1,1,239.0357143,76.21428571,401.8571429,0,0,0,0,0,0,14,1067,14,5626,8192,115,8,20,17281,13156.45005,44136,11853,10000000,205846.7123,10200000,9636818,Infilteration
6646,6,28/02/2018 10:50:04,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
0,0,28/02/2018 02:32:02,113376409,66,0,0,0,0,0,0,0,0,0,0,0,0,0.582131685,1744252.446,2979904.481,23500000,258471,113000000,1744252.446,2979904.481,23500000,258471,0,0,0,0,0,0,0,0,0,0,0,0.582131685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,-1,-1,0,0,39800000,41200000,68900000,10600000,14500000,12900000,23500000,5359578,Infilteration
