Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,22/02/2018 04:14:30,5061043,5,5,1295,1411,649,0,259,354.6519421,1047,0,282.2,455.6645696,534.6723986,1.975877304,562338.1111,1645250.298,4949367,21,111676,27919,23530.85763,57308,412,5061020,1265255,2493288.327,5005136,790,0,0,0,0,112,112,0.987938652,0.987938652,0,1047,246,374.3722746,140154.6,0,0,1,1,0,0,0,1,1,270.6,259,282.2,0,0,0,0,0,0,5,1295,5,1411,8192,231,2,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:14:35,43,2,0,0,0,0,0,0,0,0,0,0,0,0,46511.62791,43,0,43,43,43,43,0,43,43,0,0,0,0,0,0,0,0,0,40,0,46511.62791,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:14:45,5011561,4,4,603,364,603,0,150.75,301.5,364,0,91,182,192.9538521,1.596309014,715937.2857,1863710.534,4942153,14,69408,23136,33361.65182,61440,434,5011537,1670512.333,2884763.03,5001548,2031,0,0,0,0,92,92,0.798154507,0.798154507,0,603,107.4444444,221.4176546,49025.77778,0,0,1,1,0,0,0,1,1,120.875,150.75,91,0,0,0,0,0,0,4,603,4,364,8192,220,1,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:14:50,13,2,0,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,40,0,153846.1538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:14:45,12903217,16,11,3208,13898,598,0,200.5,238.7517539,2920,0,1263.454545,1197.386351,1325.715905,2.092501428,496277.5769,1223028.584,5004723,4,7898494,526566.2667,1020932.842,3081526,296,12903213,1290321.3,1746539.386,5005173,40,0,0,0,0,332,232,1.240000846,0.852500582,0,2920,610.9285714,921.8445249,849797.328,0,0,1,1,0,0,0,1,0,633.5555556,200.5,1263.454545,0,0,0,0,0,0,16,3208,11,13898,8192,272,7,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:14:58,12,2,0,0,0,0,0,0,0,0,0,0,0,0,166666.6667,12,0,12,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,40,0,166666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:16:30,5002019,5,3,485,529,485,0,97,216.8985938,529,0,176.3333333,305.4182924,202.7181424,1.599354181,714574.1429,1862476.265,4938004,17,5002019,1250504.75,2458480.225,4938004,434,6408,3204,2061.923374,4662,1746,0,0,0,0,112,72,0.999596363,0.599757818,0,529,112.6666667,223.8364358,50102.75,0,0,1,1,0,0,0,1,0,126.75,97,176.3333333,0,0,0,0,0,0,5,485,3,529,8192,219,1,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:16:49,5007516,4,4,509,388,509,0,127.25,254.5,388,0,97,194,179.1307307,1.59759849,715359.4286,1868967.643,4953559,16,53957,17985.66667,30717.15179,53454,48,5007480,1669160,2889070.351,5005171,483,0,0,0,0,92,92,0.798799245,0.798799245,0,509,99.66666667,200.0699878,40028,0,0,1,1,0,0,0,1,1,112.125,127.25,97,0,0,0,0,0,0,4,509,4,388,8192,219,1,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:16:54,23,2,0,0,0,0,0,0,0,0,0,0,0,0,86956.52174,23,0,23,23,23,23,0,23,23,0,0,0,0,0,0,0,0,0,40,0,86956.52174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0,0,0,0,0,0,0,0,SQL Injection
80,6,22/02/2018 04:16:55,5007459,4,4,510,388,510,0,127.5,255,388,0,97,194,179.3324718,1.597616675,715351.2857,1867826.283,4950939,16,56520,18840,32205.37034,56027,70,5007436,1669145.333,2889090.841,5005180,486,0,0,0,0,92,92,0.798808338,0.798808338,0,510,99.77777778,200.3258457,40130.44444,0,0,1,1,0,0,0,1,1,112.25,127.5,97,0,0,0,0,0,0,4,510,4,388,8192,219,1,20,0,0,0,0,0,0,0,0,SQL Injection
