dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
58.062927,ospf,-,REQ,52,0,5616,0,0.878357,254,0,758.900757,0.0,0,0,1170.50325,0.0,1428.380625,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,6,1,1,1,1,0,0,0,2,1,0,DoS
6e-06,unas,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,3,5,0,DoS
9e-06,sep,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,DoS
0.084521,udp,dns,CON,2,2,120,264,35.494136,254,60,5679.062012,12493.93555,0,0,0.003,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,132,0,0,17,0,3,3,3,3,0,0,0,3,2,0,DoS
2.075585,ospf,-,INT,42,0,2688,0,19.753468,254,0,10113.77539,0.0,0,0,50.624023,0.0,55.667926,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS
1.629159,tcp,pop3,FIN,20,20,958,2572,23.938732,62,252,4473.473633,12001.28418,7,8,85.745212,81.929,4283.67582,98.265555,255,4015738335,767517972,255,0.076955,0.040524,0.036431,48,129,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS
1.194853,tcp,smtp,FIN,20,20,1728,1406,32.64,62,252,10993.82129,8945.03418,7,8,62.887,59.316895,3404.389879,81.926469,255,2403690631,1112830676,255,0.09271,0.067116,0.025594,86,70,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,12,7,0,DoS
1.009548,st2,-,INT,4,0,360,0,2.971627,254,0,2139.571533,0.0,0,0,336.516,0.0,475.900531,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS
2e-06,vrrp,-,INT,2,0,200,0,500000.0013,254,0,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,2,2,13,0,0,0,4,9,0,DoS
1.087724,tcp,ftp,FIN,12,14,586,5094,22.983772,62,252,3956.88623,34795.59375,3,5,98.883997,78.640233,5482.563462,4741.3374,255,3505212877,3747629889,255,0.112657,0.065105,0.047552,49,364,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,DoS
58.422138,ospf,-,REQ,56,0,15232,0,0.941424,254,0,2048.538574,0.0,0,0,1082.539125,0.0,1248.91725,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,6,1,1,2,0,0,0,3,1,0,DoS
