dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
1.592228,tcp,-,FIN,12,10,994,822,13.189065,254,252,4582.258301,3718.060303,3,2,140.237639,156.222109,7544.964102,269.006781,255,717393356,3128345272,255,0.270231,0.186222,0.084009,83,82,0,0,4,1,1,2,1,3,0,0,0,2,3,0,Fuzzers
1.035374,tcp,-,FIN,10,8,756,354,16.419187,254,252,5261.866699,2395.269531,2,1,115.041556,133.867859,6434.11588,289.470312,255,3776782386,2516005990,255,0.141964,0.054424,0.08754,76,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Fuzzers
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Fuzzers
3e-06,udp,-,INT,2,0,204,0,333333.3215,254,0,272000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,102,0,0,0,12,2,3,3,1,11,0,0,0,3,11,0,Fuzzers
1e-06,udp,-,INT,2,0,104,0,1000000.003,254,0,416000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,6,2,3,1,1,6,0,0,0,2,13,0,Fuzzers
1.84105,tcp,-,FIN,12,10,3058,826,11.406534,254,252,12184.35156,3232.937744,3,2,164.752179,180.252563,10446.10055,241.435125,255,3603630707,1920807782,255,0.282356,0.218776,0.06358,255,83,0,0,2,1,2,1,1,1,0,0,0,1,7,0,Fuzzers
6e-06,udp,-,INT,2,0,2898,0,166666.6608,254,0,1931999872.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1449,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,Fuzzers
0.991343,tcp,ftp,FIN,14,12,798,682,25.218314,254,252,5979.766602,5051.73291,4,4,73.398,85.87082,4132.598857,105.343922,255,857032528,4156748721,255,0.09453,0.046761,0.047769,57,57,0,0,2,1,1,1,1,2,1,1,0,1,2,0,Fuzzers
0.897338,tcp,http,FIN,60,14,68195,612,81.351734,254,252,597848.3125,5072.782227,27,1,14.656474,63.51477,1481.848854,75.989367,255,3773769601,2468374961,255,0.094091,0.071643,0.022448,1137,44,1,0,2,1,21,1,1,3,0,0,1,1,2,0,Fuzzers
31.215439,tcp,-,FIN,20,12,3308,536,0.993098,254,252,805.49884,126.091454,6,1,1642.129842,2834.26225,220496.8138,8767.525,255,3979065287,3946186529,255,0.093793,0.038539,0.055254,165,45,0,0,5,1,2,2,2,2,0,0,0,2,5,0,Fuzzers
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,Fuzzers
1.962423,tcp,-,FIN,12,10,1110,832,10.701057,254,252,4149.97168,3053.368164,3,2,171.502088,200.017781,10569.31729,297.765875,255,1809431306,2226311441,255,0.297713,0.162258,0.135455,93,83,0,0,2,1,1,1,1,1,0,0,0,1,3,0,Fuzzers
