dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
0.004638,udp,-,CON,4,4,568,304,1509.271262,31,29,734799.5,393272.9688,0,0,1.188667,1.032667,1.672545,1.451219,0,0,0,0,0.0,0.0,0.0,142,76,0,0,5,0,5,1,1,3,0,0,0,6,5,0,Normal
0.001028,udp,dns,CON,2,2,146,178,2918.287859,31,29,568093.375,692607.0,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,3,3,3,4,0,0,0,4,7,0,Normal
0.940942,tcp,-,FIN,10,8,636,354,18.067001,254,252,4871.713867,2635.656738,2,1,101.223556,123.383289,5821.479634,224.714797,255,2992065581,1489061382,255,0.15036,0.077253,0.073107,64,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal
5.44146,tcp,http,FIN,10,10,854,1206,3.49171,62,252,1130.578857,1596.630249,2,2,604.606667,590.817688,51335.09445,1352.807625,255,633106058,1137171619,255,0.241535,0.086071,0.155464,85,121,1,138,2,1,1,1,1,1,0,0,1,1,1,0,Normal
0.001,udp,dns,CON,2,2,146,178,2999.999858,31,29,584000.0,711999.9375,0,0,0.009,0.014,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,3,1,1,1,0,0,0,3,3,0,Normal
0.244802,tcp,smtp,FIN,54,42,37808,3380,388.068728,31,29,1212669.875,107842.2578,19,8,4.612302,5.959146,533.862205,18.462219,255,1208547164,3359113754,255,0.000586,0.000473,0.000113,700,80,0,0,2,0,1,1,1,1,0,0,0,2,1,0,Normal
0.274165,tcp,-,FIN,14,10,774,556,83.891086,254,252,20980.06641,14618.93359,4,3,20.110615,28.608111,998.371051,37.879172,255,2214003217,3070142209,255,0.033594,0.016683,0.016911,55,56,0,0,3,1,3,3,1,3,0,0,0,3,3,0,Normal
0.004635,tcp,-,FIN,18,18,3936,2456,7551.24034,31,29,6417260.0,4004315.0,7,7,0.254118,0.244706,12.663443,0.330627,255,773676333,776831789,255,0.000592,0.000474,0.000118,219,136,0,0,8,0,3,1,1,4,0,0,0,4,6,0,Normal
0.075577,tcp,-,FIN,84,86,4862,77276,2236.13009,31,29,508620.3438,8084788.0,7,36,0.906434,0.882,64.397255,62.348863,255,431463070,461430571,255,0.000845,0.000596,0.000249,58,899,0,0,7,0,2,1,1,1,0,0,0,3,4,0,Normal
0.018281,tcp,-,FIN,16,18,1540,1644,1805.152917,31,29,631912.9375,679612.75,4,4,1.198067,1.047882,73.548846,2.019514,255,3744299622,1600276416,255,0.000584,0.000461,0.000123,96,91,0,0,6,0,8,6,1,6,0,0,0,8,12,0,Normal
0.083002,tcp,-,CON,6,2,978,86,84.335316,62,252,78552.32031,4144.478516,2,1,16.6004,0.009,976.304651,0.0,255,2350835331,1534822672,255,0.067216,0.039512,0.027704,163,43,0,0,6,3,2,2,1,6,0,0,0,2,6,0,Normal
0.746178,tcp,-,FIN,10,8,534,354,22.782769,254,252,5156.946777,3323.60376,2,1,79.933778,94.689711,5519.98675,133.623656,255,3149779773,3405604439,255,0.132147,0.083342,0.048805,53,44,0,0,5,1,1,1,1,5,0,0,0,1,5,0,Normal
12.257708,tcp,http,FIN,364,746,19410,1087890,90.473687,31,29,12633.35742,709060.5,2,370,33.766968,16.452547,5276.223836,3530.745021,255,4167932219,2105768997,255,0.000694,0.000557,0.000137,53,1458,1,524288,2,0,2,1,1,2,0,0,1,2,2,0,Normal
14.409138,tcp,-,FIN,282,510,16052,641784,54.895721,31,29,8881.03125,355622.125,24,230,51.276967,28.307711,17436.74226,12954.01214,255,36554106,2271608050,255,0.000635,0.000504,0.000131,57,1258,0,0,12,0,2,2,1,3,0,0,0,6,10,0,Normal
5.8e-05,udp,-,INT,2,0,503,0,17241.37888,64,0,34758620.0,0.0,0,0,0.058,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,252,0,0,0,37,0,37,37,37,37,0,0,0,37,37,0,Normal
0.981663,tcp,-,FIN,14,12,774,642,25.466988,254,252,5859.444824,4800.018066,4,3,75.512541,80.238453,4549.652392,117.173281,255,2998650942,613208009,255,0.106374,0.065358,0.041016,55,54,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal
1.1e-05,udp,-,INT,2,0,1298,0,90909.0902,254,0,472000000.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,649,0,0,0,63,2,6,6,1,63,0,0,0,6,62,0,Normal
1.385917,tcp,-,FIN,10,8,534,354,12.266247,254,252,2776.501221,1789.428955,2,1,143.147222,190.936719,8576.357219,269.363625,255,4294081219,3654890022,255,0.164124,0.049351,0.114773,53,44,0,0,2,1,2,1,1,1,0,0,0,1,1,0,Normal
2.304284,tcp,-,FIN,10,8,904,354,7.377563,254,252,2826.040527,1076.256226,2,1,255.963444,303.418281,14942.86691,458.384844,255,4001969639,2766639001,255,0.290822,0.180353,0.110469,90,44,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal
0.000983,udp,dns,CON,2,2,130,162,3051.881887,31,29,528992.875,659206.5,0,0,0.008,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,1,0,7,1,1,1,0,0,0,4,2,0,Normal
0.037796,tcp,smtp,FIN,54,42,37938,3380,2513.493614,31,29,7881469.5,698486.625,19,8,0.706132,0.908317,40.40381,1.958528,255,574198105,2724842536,255,0.000677,0.000551,0.000126,703,80,0,0,1,0,7,1,1,4,0,0,0,7,1,0,Normal
1.186025,tcp,http,FIN,14,18,1684,10168,26.137728,31,29,10549.52441,64781.09375,3,5,91.206613,69.738294,8882.813269,7776.695272,255,837435382,838374291,255,0.000596,0.000471,0.000125,120,565,1,3924,1,0,2,1,1,3,0,0,1,1,2,0,Normal
0.724487,tcp,-,FIN,60,14,68201,612,100.760951,254,252,740551.5625,6283.066406,27,1,11.934526,50.90923,1233.370042,67.817789,255,1354531622,3188450623,255,0.126108,0.062664,0.063444,1137,44,1,0,1,1,1,1,1,3,0,0,1,1,1,0,Normal
1.1e-05,udp,-,INT,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,31,2,9,8,1,31,0,0,0,9,31,0,Normal
0.006595,tcp,-,FIN,12,12,1064,2260,3487.490439,31,29,1183927.25,2513419.25,4,4,0.567455,0.539,30.869681,0.740705,255,2159652491,2159977596,255,0.000823,0.000657,0.000166,89,188,0,0,16,0,2,1,1,7,0,0,0,1,9,0,Normal
0.43911,tcp,http,FIN,10,8,804,1312,38.714672,62,252,13190.31641,20915.03125,2,2,48.79,56.483145,2621.081259,86.133547,255,544148652,4260127012,255,0.103116,0.043123,0.059993,80,164,1,254,5,1,3,3,2,5,0,0,4,3,5,0,Normal
0.568245,tcp,-,CON,6,2,998,86,12.31863,62,252,11713.25781,605.372681,2,1,113.649,0.009,6097.874374,0.0,255,1680918057,2815623064,255,0.394889,0.060049,0.33484,166,43,0,0,2,3,1,1,1,2,0,0,0,2,2,0,Normal
4e-06,udp,-,INT,2,0,78,0,250000.0006,254,0,78000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,2,2,3,1,1,1,0,0,0,1,4,0,Normal
0.132796,tcp,-,FIN,60,62,3614,45696,911.171993,31,29,214102.8281,2708455.0,7,24,2.245627,2.168262,121.137571,118.737035,255,3562785903,1519740168,255,0.000653,0.000527,0.000126,60,737,0,0,5,0,2,1,1,1,0,0,0,4,6,0,Normal
0.004608,tcp,-,FIN,18,18,3736,2456,7595.485842,31,29,6126736.0,4027777.75,7,7,0.252706,0.240176,12.528374,0.316707,255,47232651,2195633522,255,0.000646,0.000521,0.000125,208,136,0,0,10,0,4,1,1,4,0,0,0,12,5,0,Normal
1.412712,tcp,http,FIN,10,8,816,1062,12.033592,62,252,4162.207031,5266.466309,2,2,156.968,188.704141,9906.831251,382.461156,255,788831519,2664420631,255,0.158433,0.091124,0.067309,82,133,1,129,2,1,1,1,1,2,0,0,4,1,3,0,Normal
0.126514,tcp,-,FIN,68,70,4014,59460,1082.884085,31,29,250090.8906,3706214.25,7,28,1.912182,1.82629,99.135087,96.891511,255,657956561,681244957,255,0.000622,0.000498,0.000124,59,849,0,0,7,0,2,1,1,2,0,0,0,4,8,0,Normal
1.159744,tcp,http,FIN,14,18,1684,10168,26.730036,31,29,10788.58789,66249.10156,3,5,89.185464,68.189353,8835.820809,7737.54851,255,2573147491,505057499,255,0.000655,0.000519,0.000136,120,565,1,3924,2,0,1,1,1,1,0,0,1,5,1,0,Normal
0.004696,udp,-,CON,4,4,568,304,1490.630355,31,29,725724.0625,388415.6875,0,0,1.223667,1.049,1.721336,1.47149,0,0,0,0,0.0,0.0,0.0,142,76,0,0,7,0,7,1,1,3,0,0,0,6,4,0,Normal
0.001012,udp,dns,CON,2,2,146,178,2964.426812,31,29,577075.0625,703557.3125,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,2,1,0,Normal
0.049661,tcp,-,FIN,72,74,4238,63516,2919.796258,31,29,673365.4375,10093716.0,7,30,0.714957,0.673055,41.831445,39.85957,255,2495857703,2496148107,255,0.000633,0.000519,0.000114,59,858,0,0,12,0,2,1,1,3,0,0,0,6,5,0,Normal
0.002448,udp,-,CON,4,4,520,304,2859.477108,31,29,1274509.75,745098.0625,0,0,0.429,0.475,0.599627,0.663266,0,0,0,0,0.0,0.0,0.0,130,76,0,0,9,0,4,1,1,3,0,0,0,4,12,0,Normal
0.000992,udp,dns,CON,2,2,130,162,3024.193589,31,29,524193.5625,653225.8125,0,0,0.011,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,5,0,4,3,3,3,0,0,0,5,3,0,Normal
0.184342,tcp,-,FIN,22,24,1920,4312,244.111493,31,29,79547.79688,179362.2813,6,6,8.762191,7.988609,513.118658,489.322,255,504777366,505075903,255,0.000724,0.000595,0.000129,87,180,0,0,9,0,2,1,1,1,0,0,0,2,2,0,Normal
0.001108,udp,dns,CON,2,2,146,178,2707.581093,31,29,527075.8125,642599.25,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,3,1,1,5,0,0,0,2,4,0,Normal
0.017987,tcp,-,FIN,16,18,1540,1644,1834.658382,31,29,642241.625,690721.0625,4,4,1.178267,1.030941,71.615668,2.19185,255,477166933,481122042,255,0.000568,0.000456,0.000112,96,91,0,0,15,0,18,14,1,7,0,0,0,18,18,0,Normal
0.813582,tcp,ftp-data,FIN,8,12,424,8824,23.353516,31,29,3648.064941,79539.61719,1,4,135.543828,73.910365,226.785297,6149.482021,255,3957301681,4277056423,255,0.000689,0.000568,0.000121,53,735,0,0,3,0,2,1,1,3,0,0,0,2,2,0,Normal
