dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
1.537257,tcp,-,FIN,10,8,564,354,11.058659,254,252,2643.669922,1613.263184,2,1,170.702333,201.907578,9782.501669,277.619438,255,3312334465,700805388,255,0.226633,0.123899,0.102734,56,44,0,0,5,1,2,1,1,1,0,0,0,2,1,0,Reconnaissance
6e-06,gre,-,INT,2,0,156,0,166666.6608,254,0,104000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78,0,0,0,2,2,2,2,2,2,0,0,0,2,2,0,Reconnaissance
9e-06,leaf-2,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,13,2,4,4,4,13,0,0,0,5,13,0,Reconnaissance
0.663788,tcp,-,FIN,10,8,564,354,25.610586,254,252,6122.436523,3736.132568,2,1,73.754222,90.059289,5526.09672,141.912547,255,4135376324,1907284318,255,0.065575,0.013399,0.052176,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance
0.636314,tcp,-,FIN,10,8,564,354,26.716371,254,252,6386.78418,3897.447021,2,1,70.167556,89.55457,5428.168939,139.957156,255,2301448166,1417796816,255,0.056836,0.009429,0.047407,56,44,0,0,2,1,1,2,1,2,0,0,0,2,1,0,Reconnaissance
3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance
4e-06,ptp,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,6,5,5,10,0,0,0,6,8,0,Reconnaissance
2e-06,udp,-,INT,2,0,168,0,500000.0013,254,0,336000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance
0.626504,tcp,-,FIN,10,8,564,354,27.134703,254,252,6486.790039,3958.474365,2,1,69.611556,87.886,5387.339364,138.988313,255,828498363,1955005359,255,0.051927,0.00656,0.045367,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance
0.680249,tcp,-,FIN,10,8,564,354,24.99085,254,252,5974.283203,3645.723877,2,1,75.583222,87.907141,5443.747356,125.868336,255,2643861431,2048184771,255,0.088189,0.064137,0.024052,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance
9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance
