dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
1.3e-05,udp,-,INT,2,0,240,0,76923.07779,254,0,73846152.0,0.0,0,0,0.013,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.199274,tcp,-,FIN,10,6,610,268,75.273241,254,252,22040.00391,8992.643555,2,1,20.981444,36.781398,1288.606614,62.243359,255,2493595316,3424460037,255,0.026876,0.015364,0.011512,61,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
4e-06,udp,-,INT,2,0,392,0,250000.0006,254,0,392000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,196,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,352,0,111111.1072,254,0,156444432.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,176,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Shellcode
8e-06,udp,-,INT,2,0,142,0,125000.0003,254,0,71000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,71,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,Shellcode
1.030446,tcp,-,FIN,10,8,748,354,16.49771,254,252,5232.685547,2406.724854,2,1,111.360556,129.81343,6773.400111,195.755203,255,1230165788,3335903038,255,0.253636,0.121743,0.131893,75,44,0,0,2,1,1,1,1,1,0,0,0,2,3,0,Shellcode
0.467847,tcp,-,FIN,10,6,840,268,32.061764,254,252,12927.30371,3830.312012,2,1,48.953111,79.002,2587.133724,114.566289,255,774335187,4206423350,255,0.186458,0.072832,0.113626,84,45,0,0,1,1,2,1,1,1,0,0,0,1,5,0,Shellcode
7e-06,udp,-,INT,2,0,212,0,142857.1409,254,0,121142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,106,0,0,0,4,2,1,1,1,1,0,0,0,2,1,0,Shellcode
0.665002,tcp,-,FIN,10,8,584,354,25.563833,254,252,6327.800781,3729.312256,2,1,73.889111,81.486711,4094.819969,145.274984,255,3482035338,1335380140,255,0.145205,0.082977,0.062228,58,44,0,0,5,1,1,1,1,1,0,0,0,2,2,0,Shellcode
4e-06,udp,-,INT,2,0,196,0,250000.0006,254,0,196000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,98,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
5e-06,udp,-,INT,2,0,754,0,200000.0051,254,0,603200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,377,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,336,0,111111.1072,254,0,149333328.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,168,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.177158,tcp,-,FIN,10,6,892,268,84.670182,254,252,36261.41797,10115.26465,2,1,18.208111,34.086,978.403853,58.399195,255,1763264700,1373874019,255,0.050406,0.006725,0.043681,89,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
0.185279,tcp,-,FIN,10,6,536,268,80.958988,254,252,20855.03516,9671.900391,2,1,18.862556,35.689199,1003.42469,59.757023,255,2956394799,4262330098,255,0.05501,0.006824,0.048186,54,45,0,0,1,1,2,1,1,1,0,0,0,1,2,0,Shellcode
0.18326,tcp,-,FIN,10,6,740,268,81.850925,254,252,29073.44922,9778.457031,2,1,18.722667,35.343398,997.8352,59.927914,255,1838415852,2344116140,255,0.059736,0.00654,0.053196,74,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,322,0,111111.1072,254,0,143111104.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,161,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.180496,tcp,-,FIN,10,6,642,268,83.104331,254,252,25618.29492,9928.197266,2,1,18.479889,34.906,991.436819,59.549238,255,373023941,2079066118,255,0.052334,0.005958,0.046376,64,45,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Shellcode
4e-06,udp,-,INT,2,0,298,0,250000.0006,254,0,298000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,149,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
6e-06,udp,-,INT,2,0,250,0,166666.6608,254,0,166666656.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,0,0,0,1,2,3,1,1,1,0,0,0,1,8,0,Shellcode
3e-06,udp,-,INT,2,0,144,0,333333.3215,254,0,192000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,72,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,740,0,111111.1072,254,0,328888864.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,370,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Shellcode
4e-06,udp,-,INT,2,0,194,0,250000.0006,254,0,194000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,97,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
2e-06,udp,-,INT,2,0,944,0,500000.0013,254,0,1888000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,472,0,0,0,1,2,2,1,1,2,0,0,0,2,1,0,Shellcode
3e-06,udp,-,INT,2,0,130,0,333333.3215,254,0,173333328.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.435052,tcp,-,FIN,10,8,628,354,39.075788,254,252,10407.95117,5700.467773,2,1,48.339111,60.64357,3023.607779,124.062008,255,2902280875,2715436334,255,0.068177,0.009571,0.058606,63,44,0,0,3,1,1,1,1,1,0,0,0,2,1,0,Shellcode
0.594763,tcp,-,FIN,10,8,1862,354,28.582815,254,252,22543.43359,4169.728027,2,1,66.084778,74.780711,3843.745343,123.837234,255,2899034616,1036445464,255,0.122171,0.070534,0.051637,186,44,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Shellcode
0.412406,tcp,-,FIN,10,6,582,268,36.371925,254,252,10164.74023,4345.232422,2,1,45.749333,68.755,2224.148373,97.883398,255,1926853425,3789264330,255,0.111264,0.068625,0.042639,58,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,102,0,111111.1072,254,0,45333332.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,51,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Shellcode
0.199517,tcp,-,FIN,10,6,1018,268,75.181565,254,252,36768.79688,8981.691406,2,1,22.168556,35.774199,1087.74595,55.807031,255,1015852493,3552539734,255,0.070633,0.019281,0.051352,102,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Shellcode
0.257088,tcp,-,FIN,10,6,532,268,58.345779,254,252,14905.40137,6970.375977,2,1,26.303444,40.48,1278.658498,52.995703,255,1073416126,3073443315,255,0.075376,0.054685,0.020691,53,45,0,0,9,1,1,1,1,1,0,0,0,3,2,0,Shellcode
9e-06,udp,-,INT,2,0,224,0,111111.1072,254,0,99555552.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,112,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
4e-06,udp,-,INT,2,0,486,0,250000.0006,254,0,486000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,243,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.999266,tcp,-,FIN,10,8,982,354,17.012487,254,252,7077.194336,2481.821533,2,1,103.225111,132.248422,5783.581735,253.088531,255,3314819672,3049836895,255,0.306227,0.073519,0.232708,98,44,0,0,1,1,2,1,1,1,0,0,0,2,5,0,Shellcode
7e-06,udp,-,INT,2,0,630,0,142857.1409,254,0,360000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,315,0,0,0,6,2,1,1,1,1,0,0,0,1,1,0,Shellcode
1.629215,tcp,-,FIN,10,8,502,354,10.434473,254,252,2219.473877,1522.205444,2,1,177.364778,194.844281,9621.997357,307.344594,255,2477397911,414574766,255,0.457795,0.265303,0.192492,50,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
8e-06,udp,-,INT,2,0,280,0,125000.0003,254,0,140000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,140,0,0,0,4,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,246,0,111111.1072,254,0,109333328.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,123,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,182,0,111111.1072,254,0,80888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,91,0,0,0,1,2,2,1,1,1,0,0,0,1,2,0,Shellcode
0.63855,tcp,-,FIN,10,8,564,354,26.622818,254,252,6364.419434,3883.799316,2,1,66.633667,83.233,3823.076585,157.464875,255,3840347708,4226977921,255,0.137136,0.055914,0.081222,56,44,0,0,5,1,2,1,1,4,0,0,0,2,4,0,Shellcode
0.25524,tcp,-,FIN,10,6,518,268,58.76822,254,252,14637.2041,7020.843262,2,1,26.392222,43.299801,1307.106677,61.789508,255,3702404035,35319308,255,0.075031,0.038733,0.036298,52,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
0.228213,tcp,-,FIN,10,6,628,268,65.728071,254,252,19841.11328,7852.313477,2,1,23.283667,43.216199,1161.070751,62.954793,255,3769019513,3414811722,255,0.060426,0.012127,0.048299,63,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
1.1e-05,udp,-,INT,2,0,744,0,90909.0902,254,0,270545440.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,372,0,0,0,4,2,3,1,1,4,0,0,0,3,4,0,Shellcode
3e-06,udp,-,INT,2,0,338,0,333333.3215,254,0,450666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,169,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,464,0,111111.1072,254,0,206222208.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,232,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,Shellcode
0.202281,tcp,-,FIN,10,6,1332,268,74.154271,254,252,47419.18359,8858.963867,2,1,20.718333,38.172801,1085.855341,62.786488,255,2203497933,416762138,255,0.061129,0.011408,0.049721,133,45,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Shellcode
4e-06,udp,-,INT,2,0,1448,0,250000.0006,254,0,1448000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,724,0,0,0,3,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,280,0,111111.1072,254,0,124444440.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,140,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,624,0,111111.1072,254,0,277333312.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,312,0,0,0,1,2,18,1,1,25,0,0,0,18,1,0,Shellcode
0.186198,tcp,-,FIN,10,6,1128,268,80.559406,254,252,43652.45703,9624.164062,2,1,18.855333,32.956199,1031.661619,53.362785,255,1720915999,3609944067,255,0.054008,0.021414,0.032594,113,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Shellcode
2e-06,udp,-,INT,2,0,500,0,500000.0013,254,0,1000000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,250,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.202553,tcp,-,FIN,10,6,852,268,74.05469,254,252,30293.30469,8847.067383,2,1,20.612778,37.213801,1078.161988,59.609949,255,1922764849,2967305694,255,0.065671,0.016478,0.049193,85,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Shellcode
0.624017,tcp,-,FIN,10,6,542,268,24.037807,254,252,6256.239746,2871.716553,2,1,63.492556,108.373797,3084.996455,148.473406,255,1456099890,3562388984,255,0.138413,0.082139,0.056274,54,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,130,0,111111.1072,254,0,57777776.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,248,0,111111.1072,254,0,110222216.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,124,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,Shellcode
0.181405,tcp,-,FIN,10,6,1132,268,82.687911,254,252,44938.125,9878.449219,2,1,18.336444,34.072398,980.250745,57.259379,255,2992894420,1775977917,255,0.056937,0.011034,0.045903,113,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Shellcode
0.400034,tcp,-,FIN,10,8,724,354,42.496387,254,252,13038.8916,6199.472656,2,1,43.509333,54.639,2928.132947,107.719008,255,3803779339,2542174195,255,0.073206,0.017543,0.055663,72,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Shellcode
1.9e-05,udp,-,INT,2,0,376,0,52631.58129,254,0,79157896.0,0.0,0,0,0.019,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,188,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.181257,tcp,-,FIN,10,6,732,268,82.755427,254,252,29085.77344,9886.514648,2,1,18.459778,34.635398,987.850366,58.414699,255,484555060,3112233430,255,0.05325,0.008067,0.045183,73,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
9e-06,udp,-,INT,2,0,202,0,111111.1072,254,0,89777776.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,101,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Shellcode
0.177724,tcp,-,FIN,10,6,724,268,84.400529,254,252,29348.87695,10083.04981,2,1,18.187889,34.362199,972.531677,58.806031,255,367304849,2625284254,255,0.051408,0.005905,0.045503,72,45,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Shellcode
0.639981,tcp,-,FIN,10,8,498,354,26.56329,254,252,5612.666992,3875.115234,2,1,65.513889,78.305711,4159.310137,116.798094,255,1753953764,3545171392,255,0.142252,0.091832,0.05042,50,44,0,0,1,1,2,1,1,1,0,0,0,2,7,0,Shellcode
0.234189,tcp,-,FIN,10,6,728,268,64.05083,254,252,22409.25,7651.938965,2,1,24.965111,35.239,1315.46093,53.099379,255,2056485204,1635808203,255,0.078057,0.057985,0.020072,73,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
0.203181,tcp,-,FIN,10,6,530,268,73.825801,254,252,18781.2832,8819.722656,2,1,20.773333,38.249602,1089.865174,62.789707,255,2569775778,468157270,255,0.062218,0.011924,0.050294,53,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode
1e-05,udp,-,INT,2,0,630,0,100000.0025,254,0,252000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,315,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode
0.215972,tcp,-,FIN,10,6,1142,268,69.453446,254,252,38079.00781,8297.37207,2,1,21.816667,40.987398,1129.991357,64.457484,255,463582294,1059247468,255,0.061223,0.011033,0.05019,114,45,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Shellcode
1.583342,tcp,-,FIN,10,8,1132,354,10.736784,254,252,5148.603516,1566.307251,2,1,175.908111,209.689719,9554.347198,375.530312,255,2100869660,3077031152,255,0.203679,0.115509,0.08817,113,44,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Shellcode
3.2e-05,udp,-,INT,2,0,806,0,31250.00008,254,0,100750000.0,0.0,0,0,0.032,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,403,0,0,0,8,2,1,1,1,1,0,0,0,2,1,0,Shellcode
0.396973,tcp,-,FIN,10,6,610,268,37.785944,254,252,11063.72461,4514.160645,2,1,44.005556,67.986797,2162.42499,94.897227,255,4288814251,1505145674,255,0.119737,0.057036,0.062701,61,45,0,0,1,1,1,1,1,1,0,0,0,1,3,0,Shellcode
1.125999,tcp,-,FIN,10,8,912,354,15.097705,254,252,5833.04248,2202.48877,2,1,125.096444,150.392,7279.474218,218.959766,255,873107399,347168073,255,0.20047,0.07325,0.12722,91,44,0,0,6,1,1,1,1,1,0,0,0,1,3,0,Shellcode
